Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
ECC_20171101_182531_421.wav,0.004,0.004,0,0.004,0,0,0,0,0.004,0,0,0,0,0.004,0.862,0.004,0,0,0,0.002,0.002,0.002,0.002,0.012,0.006,0.006,0.014,0,0,0,0,0,0.014,0.008,0.002,0.004,0.02,0.016,0,0,0.002,0,0.002,39,35.2,35.2,0,0.1,1,36,36,46.4,46.4,12,27.2,192000,N1,0.862,Leppun,5
ECC_20171101_182539_641.wav,0.006,0.03,0.036,0.008,0,0.012,0.03,0,0.028,0,0.006,0.002,0.008,0.022,0.744,0.01,0,0,0,0.004,0.004,0.002,0.02,0.03,0.01,0.01,0.154,0.012,0.014,0,0,0.01,0.088,0.02,0.032,0.022,0.066,0.02,0.002,0,0.004,0.008,0.036,38,36,36,0,0.1,1,17,30,31.6,43.3,11,16.7,192000,N1,0.744,Leppun,5
ECC_20171101_182548_620.wav,0.008,0.016,0.028,0.012,0,0.014,0.028,0,0.012,0.004,0.004,0.004,0.002,0.02,0.858,0.01,0.004,0.002,0,0.002,0.002,0.002,0.008,0.018,0.012,0.004,0.176,0.012,0.002,0,0,0.004,0.034,0.01,0.022,0.01,0.052,0.008,0,0,0.002,0.018,0.006,39,35.6,35.6,0,0.1,1,24,40,39.4,59.3,13,30.5,192000,N1,0.858,Leppun,5
ECC_20171101_182557_593.wav,0.004,0.016,0.034,0.004,0.002,0.026,0.016,0,0.01,0,0.012,0.006,0.012,0.014,0.802,0.01,0.004,0.002,0,0.002,0.004,0.002,0.018,0.016,0.018,0.01,0.142,0.014,0.014,0,0,0.002,0.064,0.036,0.028,0.016,0.034,0.006,0.002,0.008,0.004,0.014,0.004,39,36,37.5,0,0.1,1,25,44,32.5,45.2,9,19.3,192000,N1,0.802,Leppun,5
ECC_20171101_182604_945.wav,0,0.004,0.01,0,0,0.002,0.006,0,0,0.002,0,0,0,0,0.848,0.004,0,0,0,0.002,0.002,0.002,0,0.012,0.006,0,0.01,0.002,0.002,0,0,0,0.026,0.008,0.004,0.006,0.034,0.004,0,0,0,0,0.004,41,36,34.5,0,0.1,1,49,49,55,55,15,34.1,192000,N1,0.848,Leppun,5
ECC_20171101_182625_320.wav,0.006,0.03,0.034,0.004,0,0.022,0.044,0,0.032,0.004,0.008,0.006,0.004,0.028,0.8,0.014,0.014,0,0,0.006,0.008,0.008,0.014,0.04,0.02,0.02,0.188,0.024,0.02,0,0,0.014,0.14,0.052,0.062,0.046,0.19,0.024,0.008,0.006,0.01,0.02,0.022,38,35.2,0,0,0.1,2,6,27,53.2,67.3,20,48,192000,N1,0.8,Leppun,5
ECC_20171101_182649_421.wav,0.002,0.01,0.006,0,0,0.016,0.016,0,0.02,0,0,0.004,0,0.036,0.854,0.004,0.004,0,0,0.002,0.002,0.004,0.014,0.038,0.02,0.006,0.186,0.016,0.014,0,0,0.004,0.084,0.012,0.064,0.03,0.068,0.03,0,0.004,0.02,0.008,0.014,45,43.9,45,0,0.1,2,24,43,38.6,46.8,14,27.9,192000,N1,0.854,Leppun,5
ECC_20171101_182706_932.wav,0.01,0.014,0.022,0.004,0.002,0.002,0.024,0,0.012,0.002,0.02,0.012,0.004,0.04,0.838,0.006,0.002,0,0,0,0.004,0.002,0.004,0.04,0.01,0.014,0.152,0.01,0.014,0,0,0.006,0.072,0.02,0.02,0.02,0.024,0.016,0,0.006,0,0.006,0.024,39,35.2,37.1,0,0.1,1,23,41,30.4,33.3,10,10.9,192000,N1,0.838,Leppun,5
ECC_20171101_182728_365.wav,0.01,0,0.008,0.004,0,0.004,0.006,0,0.004,0.002,0,0,0,0.002,0.786,0.006,0.002,0,0,0,0,0,0,0.006,0.004,0.002,0.028,0.004,0.004,0,0,0,0.036,0.014,0.018,0.01,0.03,0.006,0,0,0,0.004,0,43,35.2,35.2,0,0.1,1,53,53,48.1,48.1,16,38.9,192000,N1,0.786,Leppun,5
ECC_20171101_182744_737.wav,0.004,0.004,0.008,0.002,0,0.004,0.002,0,0.006,0,0,0,0,0,0.842,0.008,0.002,0.002,0,0,0,0.006,0.006,0.012,0.004,0.002,0.014,0,0.002,0,0,0,0.012,0.004,0.016,0.006,0.018,0.008,0.002,0,0,0.002,0.002,40,35.2,36,0,0.1,1,42,42,43.5,43.5,10,21.7,192000,N1,0.842,Leppun,5
ECC_20171101_182751_773.wav,0.002,0.008,0.022,0.01,0,0.01,0.014,0,0.01,0.002,0.006,0.004,0.002,0.02,0.8,0.008,0.002,0.004,0,0.004,0.002,0.002,0.004,0.028,0.006,0.004,0.184,0.014,0.008,0,0,0.002,0.038,0.018,0.014,0.014,0.052,0.016,0.002,0,0.002,0.01,0.006,38,36.4,36.4,0,0.1,1,24,42,46.7,57.2,17,35.7,192000,N1,0.8,Leppun,5
