"obs_datetime","filename","species","accuracy","to_validate","autoID_validate","species_val","validator","validator_comments"
"2017-09-28 19:33:03","ECC_20170928_193303_508.wav","Barbar",0.95,TRUE,FALSE,"-","-","-"
"2017-09-29 23:01:18","ECC_20170929_230118_157.wav","Myodau",0.92,TRUE,FALSE,"-","-","-"
"2017-10-07 23:25:18","ECC_20171007_232518_541.wav","Barbar",0.99,TRUE,FALSE,"-","-","-"
"2017-10-14 19:22:18","ECC_20171014_192218_456.wav","Barbar",0.99,TRUE,FALSE,"-","-","-"
"2017-10-14 23:51:55","ECC_20171014_235155_648.wav","Myodau",0.97,TRUE,FALSE,"-","-","-"
"2017-10-15 22:32:45","ECC_20171015_223245_815.wav","Myodau",0.51,TRUE,FALSE,"-","-","-"
"2017-10-15 21:43:41","ECC_20171015_214341_361.wav","Myonat",0.98,TRUE,FALSE,"-","-","-"
"2017-11-01 17:51:13","ECC_20171101_175113_895.wav","Barbar",0.86,TRUE,FALSE,"-","-","-"
"2017-11-09 17:50:47","ECC_20171109_175047_149.wav","Barbar",0.99,TRUE,FALSE,"-","-","-"
"2017-11-09 18:16:27","ECC_20171109_181627_443.wav","Barbar",0.97,TRUE,FALSE,"-","-","-"
"2017-11-15 17:18:00","ECC_20171115_171800_664.wav","Barbar",0.99,TRUE,FALSE,"-","-","-"
"2017-11-15 17:53:21","ECC_20171115_175321_973.wav","Barbar",0.99,TRUE,FALSE,"-","-","-"
"2017-11-16 17:13:43","ECC_20171116_171343_128.wav","Barbar",0.97,TRUE,FALSE,"-","-","-"
"2017-11-07 19:16:49","ECC_20171107_191649_981.wav","Myodau",0.5,TRUE,FALSE,"-","-","-"
"2017-11-15 22:25:05","ECC_20171115_222505_685.wav","Myonat",0.99,TRUE,FALSE,"-","-","-"
"2018-04-26 21:44:57","ECC_20180426_214457_188.wav","Barbar",0.99,TRUE,FALSE,"-","-","-"
"2018-04-13 21:37:02","ECC_20180413_213702_292.wav","Myodau",0.7,TRUE,FALSE,"-","-","-"
"2018-05-06 00:39:46","ECC_20180506_003946_581.wav","Myonat",0.99,TRUE,FALSE,"-","-","-"
"2018-05-07 22:24:15","ECC_20180507_222415_987.wav","Myonat",0.94,TRUE,FALSE,"-","-","-"
"2018-05-09 00:28:01","ECC_20180509_002801_233.wav","Pleaur",0.5,TRUE,FALSE,"-","-","-"
"2018-06-08 01:29:38","ECC_20180608_012938_004.wav","Barbar",0.99,TRUE,FALSE,"-","-","-"
"2018-06-14 01:16:05","ECC_20180614_011605_737.wav","Barbar",0.93,TRUE,FALSE,"-","-","-"
"2018-07-14 22:34:55","ECC_20180714_223455_889.wav","Barbar",0.99,TRUE,FALSE,"-","-","-"
"2018-07-25 22:22:19","ECC_20180725_222219_875.wav","Barbar",0.98,TRUE,FALSE,"-","-","-"
"2018-07-30 21:46:13","ECC_20180730_214613_316.wav","Barbar",0.97,TRUE,FALSE,"-","-","-"
"2018-07-31 21:33:30","ECC_20180731_213330_229.wav","Barbar",0.95,TRUE,FALSE,"-","-","-"
"2018-08-03 02:10:54","ECC_20180803_021054_500.wav","Barbar",0.97,TRUE,FALSE,"-","-","-"
"2018-07-19 23:04:12","ECC_20180719_230412_111.wav","Myodau",0.5,TRUE,FALSE,"-","-","-"
"2018-08-01 22:40:45","ECC_20180801_224045_423.wav","Myodau",0.75,TRUE,FALSE,"-","-","-"
"2018-07-21 22:05:02","ECC_20180721_220502_956.wav","Myonat",0.63,TRUE,FALSE,"-","-","-"
"2018-07-20 22:08:54","ECC_20180720_220854_444.wav","Nyclei",0.54,TRUE,FALSE,"-","-","-"
"2018-08-12 22:31:30","ECC_20180812_223130_261.wav","Barbar",0.98,TRUE,FALSE,"-","-","-"
"2018-08-16 20:42:39","ECC_20180816_204239_509.wav","Barbar",0.96,TRUE,FALSE,"-","-","-"
"2018-08-16 23:27:21","ECC_20180816_232721_053.wav","Barbar",0.96,TRUE,FALSE,"-","-","-"
"2018-08-15 00:20:13","ECC_20180815_002013_844.wav","Myodau",0.57,TRUE,FALSE,"-","-","-"
"2018-08-15 21:19:26","ECC_20180815_211926_709.wav","Myonat",0.5,TRUE,FALSE,"-","-","-"
