obs_datetime,filename,species,accuracy
2017-10-05T19:37:04Z,ECC_20171005_193704_307.wav,Nycnoc,0.93
2017-10-05T19:37:06Z,ECC_20171005_193706_428.wav,Nycnoc,0.53
2017-10-06T18:16:44Z,ECC_20171006_181644_240.wav,Nycnoc,0.86
2017-10-06T18:25:33Z,ECC_20171006_182533_359.wav,Nycnoc,0.94
2017-10-06T18:25:34Z,ECC_20171006_182534_508.wav,Nycnoc,0.53
2017-10-06T18:25:35Z,ECC_20171006_182535_832.wav,Nycnoc,0.94
2017-10-07T19:14:15Z,ECC_20171007_191415_364.wav,Nycnoc,0.91
2017-10-07T20:58:42Z,ECC_20171007_205842_273.wav,Nycnoc,0.99
2017-10-07T20:58:44Z,ECC_20171007_205844_440.wav,Nycnoc,0.96
2017-10-07T20:58:48Z,ECC_20171007_205848_183.wav,Nycnoc,0.8
2017-10-07T21:00:17Z,ECC_20171007_210017_760.wav,Nycnoc,0.97
2017-10-08T17:24:26Z,ECC_20171008_172426_311.wav,Nycnoc,0.99
2017-10-08T17:24:31Z,ECC_20171008_172431_311.wav,Nycnoc,0.77
2017-10-08T17:24:31Z,ECC_20171008_172431_804.wav,Nycnoc,0.94
2017-10-08T17:29:51Z,ECC_20171008_172951_403.wav,Nycnoc,0.99
2017-10-08T17:29:56Z,ECC_20171008_172956_403.wav,Nycnoc,0.92
2017-10-08T17:29:59Z,ECC_20171008_172959_097.wav,Nycnoc,0.88
2017-10-08T17:31:58Z,ECC_20171008_173158_331.wav,Nycnoc,0.98
2017-10-08T17:32:01Z,ECC_20171008_173201_721.wav,Nycnoc,0.89
2017-10-08T18:10:08Z,ECC_20171008_181008_068.wav,Nycnoc,0.87
2017-10-08T18:10:10Z,ECC_20171008_181010_996.wav,Nycnoc,0.92
2017-10-08T18:23:26Z,ECC_20171008_182326_185.wav,Nycnoc,0.99
2017-10-08T18:23:27Z,ECC_20171008_182327_253.wav,Nycnoc,0.96
2017-10-08T18:23:32Z,ECC_20171008_182332_253.wav,Nycnoc,0.52
2017-10-08T18:23:34Z,ECC_20171008_182334_203.wav,Nycnoc,0.99
2017-10-08T18:23:41Z,ECC_20171008_182341_896.wav,Nycnoc,0.99
2017-10-08T18:27:27Z,ECC_20171008_182727_469.wav,Nycnoc,0.98
2017-10-08T18:27:32Z,ECC_20171008_182732_469.wav,Nycnoc,0.94
2017-10-08T18:27:33Z,ECC_20171008_182733_992.wav,Nycnoc,0.9
2017-10-08T18:27:49Z,ECC_20171008_182749_309.wav,Nycnoc,0.98
2017-10-08T18:28:01Z,ECC_20171008_182801_088.wav,Nycnoc,0.98
2017-10-08T18:28:06Z,ECC_20171008_182806_088.wav,Nycnoc,0.95
2017-10-08T18:32:08Z,ECC_20171008_183208_343.wav,Nycnoc,0.97
2017-10-08T18:32:13Z,ECC_20171008_183213_935.wav,Nycnoc,0.59
2017-10-08T18:32:15Z,ECC_20171008_183215_060.wav,Nycnoc,0.97
2017-10-08T18:33:47Z,ECC_20171008_183347_035.wav,Nycnoc,0.99
2017-10-08T18:33:56Z,ECC_20171008_183356_732.wav,Nycnoc,0.98
2017-10-08T18:34:39Z,ECC_20171008_183439_645.wav,Nycnoc,0.97
2017-10-08T18:35:34Z,ECC_20171008_183534_359.wav,Nycnoc,0.99
2017-10-08T18:35:39Z,ECC_20171008_183539_811.wav,Nycnoc,0.56
2017-10-08T18:35:41Z,ECC_20171008_183541_715.wav,Nycnoc,0.96
2017-10-08T18:36:07Z,ECC_20171008_183607_103.wav,Nycnoc,0.96
2017-10-08T18:36:12Z,ECC_20171008_183612_103.wav,Nycnoc,0.93
2017-10-08T18:36:17Z,ECC_20171008_183617_103.wav,Nycnoc,0.54
2017-10-08T18:38:08Z,ECC_20171008_183808_555.wav,Nycnoc,0.99
2017-10-08T18:38:49Z,ECC_20171008_183849_463.wav,Nycnoc,0.84
2017-10-08T18:40:54Z,ECC_20171008_184054_153.wav,Nycnoc,0.99
2017-10-08T18:40:59Z,ECC_20171008_184059_943.wav,Nycnoc,0.89
2017-10-08T18:45:18Z,ECC_20171008_184518_184.wav,Nycnoc,0.97
2017-10-08T18:45:25Z,ECC_20171008_184525_329.wav,Nycnoc,0.99
2017-10-08T18:45:30Z,ECC_20171008_184530_329.wav,Nycnoc,0.96
2017-10-08T18:45:36Z,ECC_20171008_184536_177.wav,Nycnoc,0.99
2017-10-08T18:45:41Z,ECC_20171008_184541_177.wav,Nycnoc,0.98
2017-10-08T18:45:55Z,ECC_20171008_184555_164.wav,Nycnoc,0.99
2017-10-08T18:46:03Z,ECC_20171008_184603_917.wav,Nycnoc,0.83
2017-10-08T18:49:13Z,ECC_20171008_184913_041.wav,Nycnoc,0.97
2017-10-08T18:50:15Z,ECC_20171008_185015_659.wav,Nycnoc,0.96
2017-10-08T18:50:48Z,ECC_20171008_185048_449.wav,Nycnoc,0.92
2017-10-08T18:50:50Z,ECC_20171008_185050_677.wav,Nycnoc,0.95
2017-10-08T18:50:54Z,ECC_20171008_185054_520.wav,Nycnoc,0.77
2017-10-08T18:51:34Z,ECC_20171008_185134_936.wav,Nycnoc,0.94
2017-10-08T18:52:43Z,ECC_20171008_185243_920.wav,Nycnoc,0.99
2017-10-08T18:53:07Z,ECC_20171008_185307_837.wav,Nycnoc,0.95
2017-10-08T18:53:10Z,ECC_20171008_185310_720.wav,Nycnoc,0.59
2017-10-08T18:53:42Z,ECC_20171008_185342_317.wav,Nycnoc,0.95
2017-10-08T18:53:47Z,ECC_20171008_185347_317.wav,Nycnoc,0.98
2017-10-08T18:53:52Z,ECC_20171008_185352_317.wav,Nycnoc,0.97
2017-10-08T18:54:20Z,ECC_20171008_185420_579.wav,Nycnoc,0.97
2017-10-08T18:54:32Z,ECC_20171008_185432_241.wav,Nycnoc,0.99
2017-10-08T18:54:37Z,ECC_20171008_185437_241.wav,Nycnoc,0.79
2017-10-08T18:54:39Z,ECC_20171008_185439_048.wav,Nycnoc,0.99
2017-10-08T18:54:44Z,ECC_20171008_185444_048.wav,Nycnoc,0.93
2017-10-08T18:55:10Z,ECC_20171008_185510_211.wav,Nycnoc,0.97
2017-10-08T18:55:12Z,ECC_20171008_185512_529.wav,Nycnoc,0.77
2017-10-08T18:55:13Z,ECC_20171008_185513_832.wav,Nycnoc,0.99
2017-10-08T18:55:18Z,ECC_20171008_185518_832.wav,Nycnoc,0.98
2017-10-08T18:55:22Z,ECC_20171008_185522_317.wav,Nycnoc,0.91
2017-10-08T18:55:54Z,ECC_20171008_185554_209.wav,Nycnoc,0.98
2017-10-08T18:55:59Z,ECC_20171008_185559_209.wav,Nycnoc,0.99
2017-10-08T18:56:04Z,ECC_20171008_185604_209.wav,Nycnoc,0.99
2017-10-08T18:56:32Z,ECC_20171008_185632_491.wav,Nycnoc,0.65
2017-10-08T18:56:33Z,ECC_20171008_185633_835.wav,Nycnoc,0.99
2017-10-08T18:56:39Z,ECC_20171008_185639_124.wav,Nycnoc,0.83
2017-10-08T18:56:40Z,ECC_20171008_185640_653.wav,Nycnoc,0.99
2017-10-08T18:56:49Z,ECC_20171008_185649_883.wav,Nycnoc,0.99
2017-10-08T18:56:54Z,ECC_20171008_185654_620.wav,Nycnoc,0.86
2017-10-08T18:56:55Z,ECC_20171008_185655_725.wav,Nycnoc,0.99
2017-10-08T18:57:00Z,ECC_20171008_185700_725.wav,Nycnoc,0.94
2017-10-08T18:57:03Z,ECC_20171008_185703_835.wav,Nycnoc,0.91
2017-10-08T18:57:07Z,ECC_20171008_185707_280.wav,Nycnoc,0.98
2017-10-08T18:57:12Z,ECC_20171008_185712_387.wav,Nycnoc,0.99
2017-10-08T18:57:17Z,ECC_20171008_185717_387.wav,Nycnoc,0.99
2017-10-08T18:57:21Z,ECC_20171008_185721_619.wav,Nycnoc,0.96
2017-10-08T18:57:26Z,ECC_20171008_185726_619.wav,Nycnoc,0.94
