Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
SR2_20170528_235050_000.wav,0.004,0.044,0.018,0.004,0,0.028,0.032,0,0.04,0.002,0.01,0.012,0.004,0.068,0.072,0.006,0.016,0.002,0.006,0.006,0.056,0.066,0.034,0.124,0.136,0.086,0.362,0.036,0.026,0,0,0.004,0.048,0.162,0.278,0.696,0.042,0.032,0.012,0.154,0.158,0.016,0.028,70,68.2,68.2,0,0.9,20,3,6,123.6,234,34,79.7,192000,N1,0.696,Pippyg,5
SR2_20170529_233053_000.wav,0.014,0.02,0.024,0.002,0,0.012,0.004,0,0.032,0.004,0.002,0,0.004,0.004,0.012,0.012,0.002,0.002,0.01,0.004,0.006,0.004,0.024,0.016,0.012,0.012,0.104,0.038,0.044,0,0,0,0.046,0.082,0.164,0.91,0.028,0.01,0.014,0.044,0.068,0.02,0.046,59,57.8,57,0,1.3,10,5,7,29,167.1,11,10.5,192000,N1,0.91,Pippyg,5
SR2_20170530_001905_000.wav,0.02,0.024,0.026,0.004,0,0.028,0.03,0,0.036,0.002,0.002,0.002,0.01,0.016,0.028,0.018,0.02,0.006,0.002,0.004,0.042,0.014,0.036,0.12,0.052,0.022,0.094,0.018,0.032,0.004,0,0,0.05,0.114,0.854,0.16,0.024,0.024,0.024,0.02,0.052,0.046,0.054,52,48.8,46.5,0,1.2,24,5,10,58.8,121.9,16,45.4,192000,N1,0.854,Pippip,5
SR2_20170530_003515_000.wav,0.036,0.094,0.042,0.014,0.002,0.018,0.024,0,0.038,0.004,0.002,0.004,0.038,0.06,0.05,0.02,0.006,0.024,0.014,0.004,0.01,0.016,0.034,0.084,0.086,0.022,0.11,0.032,0.036,0,0,0.002,0.042,0.482,0.616,0.07,0.028,0.04,0.028,0.062,0.032,0.012,0.034,44,43.1,42.8,0,2.3,14,9,19,53.4,119.3,14,40.4,192000,N1,0.616,Pippip,5
SR2_20170530_012046_000.wav,0.022,0.024,0.032,0.002,0,0.012,0.01,0,0.038,0.006,0.002,0.004,0.004,0.006,0.016,0.03,0.006,0.012,0.002,0.004,0.028,0.014,0.02,0.112,0.114,0.02,0.052,0.018,0.026,0,0,0.002,0.018,0.254,0.85,0.14,0.008,0.052,0.038,0.03,0.03,0.02,0.022,50,45.8,45,0,1.4,12,7,13,38,99.5,11,23.4,192000,N1,0.85,Pippip,5
SR2_20170530_013805_000.wav,0.014,0.038,0.028,0.004,0,0.042,0.014,0,0.064,0.004,0.002,0.006,0.012,0.02,0.042,0.02,0.032,0.006,0.008,0.004,0.064,0.036,0.04,0.112,0.136,0.074,0.112,0.042,0.03,0.002,0,0.004,0.036,0.39,0.798,0.15,0.042,0.066,0.024,0.028,0.032,0.054,0.074,50,45.8,44.2,0,3.1,58,7,18,55.3,218.8,16,41.7,192000,N1,0.798,Pippip,5
SR2_20170602_204446_000.wav,0.008,0.052,0.01,0.002,0,0.024,0.016,0,0.032,0,0.002,0.006,0.006,0.016,0.026,0.01,0.006,0.002,0.004,0.006,0.05,0.014,0.06,0.126,0.156,0.048,0.218,0.02,0.016,0.002,0,0.006,0.036,0.112,0.842,0.168,0.038,0.07,0.012,0.042,0.044,0.042,0.038,56,50.2,49.5,0,1.1,16,6,16,110.2,183.1,35,101.7,192000,N1,0.842,Pippip,5
SR2_20170602_205108_000.wav,0.016,0.046,0.018,0.002,0.002,0.032,0.036,0,0.028,0.002,0.004,0.008,0.01,0.092,0.06,0.01,0.006,0.004,0.004,0.002,0.044,0.014,0.034,0.048,0.024,0.016,0.268,0.02,0.028,0,0,0.002,0.064,0.038,0.168,0.756,0.062,0.056,0.014,0.06,0.092,0.03,0.04,63,61.5,60.8,0,1,11,2,8,32.4,123.9,10,22.3,192000,N1,0.756,Pippyg,5
SR2_20170602_205452_000.wav,0.008,0.03,0.012,0.006,0,0.028,0.028,0,0.06,0.002,0.004,0.006,0.006,0.018,0.016,0.012,0.008,0.002,0.002,0.002,0.072,0.016,0.054,0.176,0.108,0.032,0.12,0.05,0.042,0,0,0.004,0.026,0.122,0.776,0.288,0.032,0.138,0.016,0.028,0.084,0.018,0.042,56,51,49.5,0,1.3,20,8,14,96.2,191.7,35,86,192000,N1,0.776,Pippip,5
SR2_20170603_001738_000.wav,0.044,0.082,0.024,0.006,0,0.014,0.01,0,0.042,0.002,0,0.002,0.006,0.018,0.024,0.02,0.008,0.01,0.022,0.004,0.01,0.004,0.02,0.058,0.028,0.01,0.07,0.022,0.07,0,0,0.004,0.022,0.248,0.836,0.096,0.022,0.042,0.048,0.03,0.074,0.018,0.03,46,45,44.2,0,3.1,16,8,20,51.2,100.3,13,32.4,192000,N1,0.836,Pippip,5
