Filename,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
ECC_20171226_162453_011.wav,0.018,0.032,38,60,60,0,0.1,1,6,6,284.3,284.3,131,281.6,192000,N1,0.366,noise,5
ECC_20171226_180028_616.wav,0.012,0.102,10,9.8,9.8,0,0.5,4,8,26,16.8,280.7,8,11.4,192000,N1,0.344,noise,5
ECC_20171226_194242_131.wav,0.05,0.212,22,21.8,17.6,0,1.1,11,1,1,38.3,84.1,14,35.3,192000,N1,0.656,noise,5
ECC_20171226_194247_925.wav,0.038,0.114,28,28.5,8.2,0,1,6,1,2,30.1,88.9,14,28.1,192000,N1,0.718,noise,5
ECC_20171226_194304_000.wav,0.034,0.356,30,32.2,23.6,0,1.1,13,1,2,30.8,147.8,15,27.3,192000,N1,0.77,noise,5
ECC_20171226_194340_515.wav,0.042,0.17,30,25.1,23.2,0,1.1,18,1,3,49.6,195.7,22,44.4,192000,N1,0.768,noise,5
ECC_20171226_194449_829.wav,0.048,0.228,25,25.1,25.1,0,0.9,15,0,2,28.2,88.2,12,24.7,192000,N1,0.528,noise,5
ECC_20171226_195205_537.wav,0.008,0.006,45,50.2,50.2,0,0.1,1,4,4,261.5,261.5,123,259.5,192000,N1,0.3,Leppun,5
ECC_20171226_195244_443.wav,0,0.004,41,50.2,24.8,0,0.1,1,3,3,296.6,296.6,126,285.7,192000,N1,0.298,noise,5
ECC_20171226_195822_551.wav,0.044,0.108,20,22.1,9.8,0,1.1,12,1,2,29.8,75,12,24.8,192000,N1,0.698,noise,5
ECC_20171226_195900_744.wav,0.024,0.162,29,24,24.8,0,1.1,7,1,2,40.2,159.8,19,37.3,192000,N1,0.736,noise,5
ECC_20171226_200108_004.wav,0.03,0.114,32,35.2,25.9,0,0.9,7,1,2,33.6,263.6,15,31.2,192000,N1,0.424,noise,5
ECC_20171226_200224_317.wav,0.04,0.126,30,29.2,27,0,1.1,8,1,1,32.3,93.2,13,31.2,192000,N1,0.55,noise,5
ECC_20171226_200417_661.wav,0.046,0.258,22,21.8,9.8,0,1,7,1,2,30.5,301.4,12,22.3,192000,N1,0.674,noise,5
ECC_20171226_200639_412.wav,0.048,0.194,29,28.9,28.5,0,1.1,20,0,2,31.6,99.5,15,25.7,192000,N1,0.7,noise,5
ECC_20171226_200724_664.wav,0.042,0.138,24,24.8,24.8,0,0.9,12,1,2,35.6,107.3,16,31.5,192000,N1,0.804,noise,5
ECC_20171226_200957_760.wav,0.028,0.116,27,31.5,9.8,0,1.1,11,0,1,30.4,44.7,11,17,192000,N1,0.678,noise,5
ECC_20171226_201013_077.wav,0.046,0.116,34,43.5,43.5,0,1,10,1,1,25.9,109.7,11,20.8,192000,N1,0.518,noise,5
ECC_20171226_201234_773.wav,0.03,0.11,25,23.2,21.8,0,0.7,5,0,1,25.2,173.5,10,18.1,192000,N1,0.734,noise,5
ECC_20171226_201304_000.wav,0.006,0.114,27,27.4,27.8,0,0.2,1,0,1,23,29.9,9,20.5,192000,N1,0.38,noise,5
ECC_20171226_201647_156.wav,0.044,0.11,27,25.9,26.6,0,1,13,1,2,40.4,67.6,20,37,192000,N1,0.798,noise,5
ECC_20171226_202041_180.wav,0.026,0.054,31,30.8,23.6,0,1,3,1,1,59.6,310.1,26,54.1,192000,N1,0.624,noise,5
