INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181008_231506.wac,1797.001333,2018-10-08,23:15:06,23,2018-10-08,11:15:06,11,,,,,,,,,,,,,1,,,,,,xd+DTKUiZ5eHgYATgon+Cw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_001504.wac,1798.001333,2018-10-09,00:15:04,0,2018-10-08,12:15:04,12,,,,,,,,,,,,,1,,,,,,fsCdA7Y4ifeWGsD9Oyt4qg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181008_234505.wac,1797.001333,2018-10-08,23:45:05,23,2018-10-08,11:45:05,11,,,,,,,,,,,,,1,,,,,,GweKNdkywSJuxkF1NJbKog==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_004504.wac,1798.001333,2018-10-09,00:45:04,0,2018-10-08,12:45:04,12,,,,,,,,,,,,,1,,,,,,WEt3lDmv5fvvzK2CuDwtBQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_014504.wac,1798.001333,2018-10-09,01:45:04,1,2018-10-08,13:45:04,13,,,,,,,,,,,,,1,,,,,,TEe0wgZcLlIVd2gCnySEQg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_011504.wac,1798.001333,2018-10-09,01:15:04,1,2018-10-08,13:15:04,13,,,,,,,,,,,,,1,,,,,,yUE6gQOb+512f/EWaVXgWA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_021504.wac,1798.001333,2018-10-09,02:15:04,2,2018-10-08,14:15:04,14,,,,,,,,,,,,,1,,,,,,ekRj1tNvZeDWo1dpDk78mg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_024504.wac,1798.001333,2018-10-09,02:45:04,2,2018-10-08,14:45:04,14,,,,,,,,,,,,,1,,,,,,SK8hXb7YKmxjkNx/L9l6Zw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_031504.wac,1798.001333,2018-10-09,03:15:04,3,2018-10-08,15:15:04,15,,,,,,,,,,,,,1,,,,,,S4PAFthPoRE92S+2xAJ4zQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_034504.wac,1798.001333,2018-10-09,03:45:04,3,2018-10-08,15:45:04,15,,,,,,,,,,,,,1,,,,,,iw6yB6dLCnBWLe5lAgZ6Gg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_041504.wac,1798.001333,2018-10-09,04:15:04,4,2018-10-08,16:15:04,16,,,,,,,,,,,,,1,,,,,,wMLThg0nRXAk2zbAb71coQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_044504.wac,1798.001333,2018-10-09,04:45:04,4,2018-10-08,16:45:04,16,,,,,,,,,,,,,1,,,,,,aJ6ODJwiO8zi1DrHnkKCgg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_171202.wac,1800.001333,2018-10-09,17:12:02,17,2018-10-09,05:12:02,5,,,,,,,,,,,,,1,,,,,,X3+///txbe6pscNFAKAoEQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_051504.wac,1798.001333,2018-10-09,05:15:04,5,2018-10-08,17:15:04,17,,,,,,,,,,,,,1,,,,,,lGSuRxZEUsRHa5B0zlqAHw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_054504.wac,1798.001333,2018-10-09,05:45:04,5,2018-10-08,17:45:04,17,,,,,,,,,,,,,1,,,,,,wzoVKIN2tUxXsC0JEmMfYw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_061504.wac,1438.001333,2018-10-09,06:15:04,6,2018-10-08,18:15:04,18,,,,,,,,,,,,,1,,,,,,As7OEQZD+nqpS00mWuLLRA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_164200.wac,1800.001333,2018-10-09,16:42:00,16,2018-10-09,04:42:00,4,,,,,,,,,,,,,1,,,,,,WYfZagBspWqaOrieRsMxUw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_174204.wac,1798.001333,2018-10-09,17:42:04,17,2018-10-09,05:42:04,5,,,,,,,,,,,,,1,,,,,,Q/ReDiI2MIcS8LyysOh6jA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_191204.wac,1798.001333,2018-10-09,19:12:04,19,2018-10-09,07:12:04,7,,,,,,,,,,,,,1,,,,,,gxRlCnCzixTSiIVCvJpbyw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_184204.wac,1798.001333,2018-10-09,18:42:04,18,2018-10-09,06:42:04,6,,,,,,,,,,,,,1,,,,,,Ww42YUl9Dl0uzvAYnUgwLQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_181204.wac,1798.001333,2018-10-09,18:12:04,18,2018-10-09,06:12:04,6,,,,,,,,,,,,,1,,,,,,Y+zGKMXJofe7MKnC765Q2w==
