obs_datetime,filename,species,confidence_index,real_error
2015-10-13T19:46:35Z,SR2_20151013_194635_264.wav,Barbar,0.99,0.939733686063175
2015-10-13T20:45:10Z,SR2_20151013_204510_985.wav,Barbar,0.99,0.939733686063175
2015-10-15T19:35:46Z,SR2_20151015_193546_323.wav,Barbar,0.99,0.939733686063175
2015-10-16T20:52:35Z,SR2_20151016_205235_373.wav,Barbar,0.99,0.939733686063175
2015-10-19T19:33:27Z,SR2_20151019_193327_507.wav,Barbar,0.99,0.939733686063175
2015-10-21T21:05:32Z,SR2_20151021_210532_808.wav,Barbar,0.99,0.939733686063175
2015-10-26T21:40:57Z,SR2_20151026_214057_016.wav,Barbar,0.99,0.939733686063175
2015-10-29T19:59:17Z,SR2_20151029_195917_473.wav,Barbar,0.99,0.939733686063175
2016-05-09T03:46:41Z,SR2_20160509_034641_393.wav,Barbar,0.99,0.939733686063175
2016-05-09T23:29:34Z,SR2_20160509_232934_376.wav,Barbar,0.99,0.939733686063175
2016-07-11T23:13:38Z,SR2_20160711_231338_103.wav,Barbar,0.99,0.939733686063175
2016-08-03T01:16:44Z,SR2_20160803_011644_584.wav,Barbar,0.99,0.939733686063175
2016-06-22T20:23:05Z,SR2_20160622_202305_453.wav,Barbar,0.98,0.937876398385532
2016-06-23T22:11:02Z,SR2_20160623_221102_791.wav,Barbar,0.98,0.937876398385532
2015-10-29T20:12:11Z,SR2_20151029_201211_020.wav,Barbar,0.97,0.935965773041384
2016-02-28T20:53:32Z,SR2_20160228_205332_948.wav,Barbar,0.88,0.916152408647942
2016-07-02T21:05:28Z,SR2_20160702_210528_748.wav,Barbar,0.53,0.77895658847256
2016-03-01T23:24:49Z,SR2_20160301_232449_549.wav,Barbar,0.44,0.724843751608419
2016-04-03T20:26:09Z,SR2_20160403_202609_979.wav,Barbar,0.44,0.724843751608419
2016-03-19T20:48:15Z,SR2_20160319_204815_932.wav,Barbar,0.35,0.663211276437487
2016-03-27T21:39:32Z,SR2_20160327_213932_097.wav,Barbar,0.32,0.641215747494114
2016-06-14T20:08:59Z,SR2_20160614_200859_283.wav,Barbar,0.3,0.626207907446116
2016-03-15T23:25:43Z,SR2_20160315_232543_203.wav,Barbar,0.26,0.595478069028883
2016-04-01T23:27:50Z,SR2_20160401_232750_907.wav,Barbar,0.24,0.579810752815421
2015-11-12T20:47:58Z,SR2_20151112_204758_879.wav,Barbar,0.19,0.539999702788099
2016-01-27T19:15:10Z,SR2_20160127_191510_936.wav,Barbar,0.19,0.539999702788099
2016-02-01T00:28:36Z,SR2_20160201_002836_611.wav,Barbar,0.11,0.475443093076738
2016-02-01T00:28:38Z,SR2_20160201_002838_145.wav,Barbar,0.11,0.475443093076738
2016-07-31T22:18:04Z,SR2_20160731_221804_000.wav,Barbar,0.02,0.403889212511781
2016-08-06T21:45:53Z,SR2_20160806_214553_715.wav,Eptser,0.52,0.581115799047104
2016-08-06T21:45:51Z,SR2_20160806_214551_401.wav,Eptser,0.38,0.49259110926988
2016-07-13T01:31:48Z,SR2_20160713_013148_260.wav,Eptser,0.19,0.374226186282658
2016-05-21T00:47:34Z,SR2_20160521_004734_047.wav,Eptser,0.13,0.339140740940481
2016-05-21T00:47:28Z,SR2_20160521_004728_165.wav,Eptser,0.1,0.322212125287128
2016-02-05T18:33:26Z,SR2_20160205_183326_057.wav,Eptser,0.08,0.311176819230031
2015-10-12T01:57:02Z,SR2_20151012_015702_727.wav,Eptser,0.07,0.305737588324189
2016-08-06T21:45:45Z,SR2_20160806_214545_225.wav,Eptser,0.05,0.295020919383004
2015-10-10T16:57:15Z,SR2_20151010_165715_423.wav,Eptser,0.01,0.274259069181369
2016-01-27T17:18:26Z,SR2_20160127_171826_391.wav,Myodau,0.99,0.928343317507209
2016-03-15T21:58:10Z,SR2_20160315_215810_115.wav,Myodau,0.99,0.928343317507209
2016-03-15T21:58:13Z,SR2_20160315_215813_881.wav,Myodau,0.98,0.925460068198221
2016-03-23T21:48:25Z,SR2_20160323_214825_939.wav,Myodau,0.97,0.922470494324994
2016-05-23T02:12:10Z,SR2_20160523_021210_716.wav,Myodau,0.97,0.922470494324994
2015-10-14T21:57:58Z,SR2_20151014_215758_997.wav,Myodau,0.94,0.91283237027437
2016-02-21T18:58:36Z,SR2_20160221_185836_708.wav,Myodau,0.94,0.91283237027437
2016-02-05T19:57:55Z,SR2_20160205_195755_489.wav,Myodau,0.93,0.909385925849606
2016-03-14T21:11:34Z,SR2_20160314_211134_112.wav,Myodau,0.93,0.909385925849606
2016-04-09T20:33:29Z,SR2_20160409_203329_869.wav,Myodau,0.93,0.909385925849606
2016-05-21T00:47:42Z,SR2_20160521_004742_041.wav,Myodau,0.93,0.909385925849606
2016-02-21T18:58:38Z,SR2_20160221_185838_284.wav,Myodau,0.91,0.902123206601512
2016-07-04T23:18:36Z,SR2_20160704_231836_187.wav,Myodau,0.91,0.902123206601512
2016-02-05T20:16:26Z,SR2_20160205_201626_712.wav,Myodau,0.9,0.898300515583595
2016-02-21T20:15:34Z,SR2_20160221_201534_171.wav,Myodau,0.9,0.898300515583595
2016-03-14T22:58:25Z,SR2_20160314_225825_521.wav,Myodau,0.9,0.898300515583595
2016-03-15T04:06:55Z,SR2_20160315_040655_511.wav,Myodau,0.9,0.898300515583595
2015-11-27T18:41:46Z,SR2_20151127_184146_071.wav,Myodau,0.89,0.894346010486579
2016-02-05T22:56:32Z,SR2_20160205_225632_724.wav,Myodau,0.89,0.894346010486579
