Filename,CallNum,Version,FileDur,SampleRate,StTime,Dur,PrevSt,Fmax,Fmin,BW,FreqMP,CM_FIF,Amp1,Amp2,Amp3,Amp4,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,HL,HU
SR2_20151010_225015_281.wav,0,1,1.12,192000,0,35.33,9999,61.5,24.75,36.75,41.25,36,110.69,150.92,107.28,31.96,0.002,0.004,0.002,0.012,0,0.006,0.006,0,0.012,0,0.002,0,0,0.004,0.79,0,0,0,0,0,0.002,0.004,0.002,0.012,0,0,0.044,0.012,0.006,0,0,0.004,0.01,0.006,0.01,0.008,0.032,0.004,0,0,0,0.002,0.002,FALSE,FALSE
SR2_20151010_225015_281.wav,1,1,1.12,192000,108.17,3.83,108.17,56.25,27.75,28.5,35.25,35.25,9.36,208.2,64.03,21.27,0.002,0.044,0.01,0.002,0,0.012,0.014,0,0.076,0,0.002,0.008,0.008,0.014,0.126,0,0.006,0,0,0,0.008,0.016,0.012,0.144,0.066,0.04,0.09,0.052,0.016,0.002,0,0.008,0.012,0.008,0.042,0.048,0.012,0.072,0.002,0.002,0.01,0.01,0.004,FALSE,FALSE
SR2_20151010_225015_281.wav,2,1,1.12,192000,113,5.17,4.83,42.75,30.75,12,37.5,36.75,12.72,9.49,5.04,0.95,0.014,0.012,0.052,0.002,0,0.008,0.018,0,0.032,0.002,0,0,0.004,0.006,0.378,0.01,0.012,0,0,0,0.004,0,0.01,0.028,0.008,0.008,0.116,0.006,0.018,0,0,0,0.076,0.022,0.012,0.022,0.068,0.014,0.004,0.006,0.002,0.014,0.012,FALSE,FALSE
SR2_20151010_225019_048.wav,0,1,1.05,192000,0,36.17,9999,59.25,26.25,33,39.75,35.25,119.01,161.56,112.49,32.01,0.002,0.008,0.008,0.016,0,0.006,0.004,0,0.01,0,0.002,0,0,0,0.704,0.004,0.002,0,0,0,0,0.002,0.002,0.014,0.006,0.002,0.056,0.006,0.004,0,0,0.004,0.02,0.022,0.012,0.02,0.026,0.022,0,0,0.002,0.004,0.01,FALSE,FALSE
SR2_20151010_225019_048.wav,1,1,1.05,192000,102.5,12.33,102.5,49.5,24,25.5,36.75,37.5,127.64,67.03,23.66,5.05,0.004,0.038,0.014,0.012,0,0.01,0.01,0,0.026,0.004,0,0,0.006,0.002,0.578,0.006,0.006,0,0,0,0.002,0.006,0.002,0.028,0.006,0.014,0.056,0.01,0.01,0,0,0.002,0.03,0.024,0.02,0.016,0.034,0.01,0,0,0.002,0.004,0.008,FALSE,FALSE
SR2_20151010_225023_477.wav,0,1,1.12,192000,0,38.83,9999,60,24.75,35.25,36,38.25,147.08,138.94,99.42,21.22,0.004,0.014,0,0.014,0,0.004,0.012,0,0.008,0,0,0.002,0,0.002,0.76,0.01,0,0.002,0,0.002,0,0,0.002,0.012,0.002,0.002,0.028,0.012,0.006,0,0,0,0.012,0.014,0.018,0.004,0.034,0.008,0,0,0,0.008,0.004,FALSE,FALSE
SR2_20151010_225023_477.wav,1,1,1.12,192000,100,10.33,100,52.5,24,28.5,36,39,165.91,21.48,84.39,8.39,0.002,0.012,0.01,0.01,0,0.016,0.022,0,0.004,0,0.004,0,0.006,0.018,0.512,0.002,0.002,0.002,0,0,0.002,0.012,0.006,0.034,0.024,0.014,0.108,0.014,0.014,0,0,0.002,0.024,0.012,0.03,0.01,0.04,0.014,0.002,0,0.006,0.006,0.004,FALSE,FALSE
SR2_20151010_225027_752.wav,0,1,1.15,192000,0,45.17,9999,60.75,25.5,35.25,39.75,40.5,112.1,107.84,108.51,33.77,0,0.012,0.002,0.006,0,0.006,0.006,0,0.016,0.002,0,0,0.002,0.004,0.638,0.004,0.006,0.002,0,0,0.004,0.006,0.01,0.034,0.008,0.008,0.038,0.012,0.012,0,0,0,0.02,0.022,0.038,0.024,0.034,0.014,0,0,0,0.008,0.002,FALSE,FALSE
SR2_20151010_225027_752.wav,1,1,1.15,192000,105.83,6,105.83,52.5,24.75,27.75,38.25,37.5,229.36,48.72,15.61,12.68,0,0.006,0.004,0.006,0,0.018,0.014,0,0.004,0.002,0,0,0.004,0.008,0.54,0.01,0.004,0,0,0,0.002,0.006,0.004,0.034,0.026,0.026,0.096,0.012,0.006,0,0,0.006,0.02,0.018,0.04,0.03,0.028,0.022,0,0,0,0.004,0,FALSE,FALSE
SR2_20151010_225032_852.wav,0,1,1.05,192000,0,36,9999,64.5,26.25,38.25,42,33,140.41,198.29,132.14,46.6,0,0.008,0.008,0.002,0.002,0.012,0.02,0,0.01,0,0,0.002,0.002,0.004,0.654,0.012,0.004,0,0,0,0,0.006,0.002,0.008,0.004,0.006,0.04,0.008,0.01,0,0,0.006,0.026,0.006,0.034,0.022,0.056,0.014,0,0,0,0.006,0.006,FALSE,FALSE
