Filename,CallNum,Version,FileDur,SampleRate,StTime,Dur,PrevSt,Fmax,Fmin,BW,FreqMP,CM_FIF,Amp1,Amp2,Amp3,Amp4,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,HL,HU
SR2_20151012_164548_711.wav,0,1,1.09,192000,0.33,35.83,9999,59.25,27,32.25,36,36.75,85.62,81.06,70.78,46.82,0.002,0.008,0.006,0.006,0,0.002,0,0,0.006,0.002,0,0,0,0,0.774,0.004,0.002,0.002,0,0,0,0.004,0.006,0.008,0.006,0.002,0.028,0.012,0.004,0,0,0,0.03,0.022,0.01,0.016,0.018,0.01,0.002,0.002,0,0.004,0.002,FALSE,FALSE
SR2_20151012_164548_711.wav,1,1,1.09,192000,106.5,8,106.17,46.5,27.75,18.75,34.5,33,48.37,12.41,18.83,4.18,0,0,0.01,0,0,0.004,0.01,0,0.002,0,0.006,0,0,0.002,0.764,0.004,0.002,0,0,0,0,0.002,0.002,0.002,0.008,0.002,0.066,0.004,0.004,0,0,0,0.018,0.008,0.012,0.014,0.032,0.004,0,0,0.004,0.01,0.004,FALSE,FALSE
SR2_20151012_164612_327.wav,0,1,1.07,192000,0,22,9999,49.5,27,22.5,36,39,86.04,89.66,46.57,34.98,0.004,0.024,0.006,0.004,0,0.012,0.01,0,0.016,0,0,0,0.004,0,0.622,0.008,0,0.002,0,0.004,0.002,0.002,0.006,0.046,0.01,0.002,0.038,0.016,0.012,0,0,0,0.022,0.048,0.018,0.018,0.02,0.01,0.002,0.004,0.006,0,0.002,FALSE,FALSE
SR2_20151012_164612_327.wav,1,1,1.07,192000,27,6.17,27,46.5,30,16.5,36,36,121.14,49.01,7.6,8.54,0.008,0.06,0.012,0.002,0,0.016,0.028,0,0.024,0.004,0.002,0,0.002,0.004,0.394,0.004,0.004,0.004,0,0,0.008,0.01,0.006,0.064,0.018,0.006,0.068,0.048,0.002,0,0,0.002,0.032,0.048,0.02,0.028,0.024,0.026,0,0.002,0.006,0.01,0.004,FALSE,FALSE
SR2_20151012_164612_327.wav,2,1,1.07,192000,100.33,4.67,73.33,46.5,26.25,20.25,34.5,33.75,66.55,8.72,3.72,8.15,0.006,0.024,0.01,0,0,0.014,0.022,0,0.026,0.006,0,0,0.006,0.01,0.484,0.012,0.002,0.002,0,0,0.002,0.006,0.004,0.042,0.014,0.016,0.088,0.016,0.01,0,0,0.006,0.032,0.032,0.022,0.006,0.036,0.016,0.002,0.002,0.004,0.004,0.016,FALSE,FALSE
SR2_20151012_164655_417.wav,0,1,1.08,192000,0,23.5,9999,49.5,27,22.5,35.25,37.5,102.18,95.93,53.27,34.92,0.004,0.016,0.008,0.002,0,0.002,0.004,0,0.01,0.002,0,0,0.002,0.002,0.726,0,0,0,0,0.004,0.002,0.002,0,0.042,0.016,0,0.024,0.006,0.002,0,0,0.004,0.018,0.042,0.016,0.01,0.014,0.012,0.002,0.002,0,0.004,0,FALSE,FALSE
SR2_20151012_164655_417.wav,1,1,1.08,192000,33,6.17,33,46.5,28.5,18,36,40.5,130.59,54.83,20.25,9.13,0.002,0.014,0.004,0,0,0.012,0.022,0,0.01,0.002,0.004,0.002,0.006,0.012,0.352,0.002,0.006,0,0.002,0,0.006,0.006,0.038,0.094,0.044,0.034,0.064,0.076,0.006,0,0,0.002,0.02,0.032,0.02,0.016,0.022,0.04,0,0.004,0.008,0.016,0,FALSE,FALSE
SR2_20151012_164655_417.wav,2,1,1.08,192000,100.17,3.5,67.17,47.25,27,20.25,35.25,40.5,73.71,13.25,6.19,0.55,0,0.01,0.014,0,0,0.02,0.026,0,0.018,0,0.004,0,0.01,0.014,0.448,0.002,0.006,0,0,0,0.004,0.006,0.006,0.038,0.028,0.016,0.138,0.036,0,0,0,0,0.038,0.028,0.018,0.014,0.03,0.012,0,0,0.002,0.002,0.012,FALSE,FALSE
SR2_20151012_164700_588.wav,0,1,1.01,192000,0,25.83,9999,54.75,27,27.75,35.25,39,85.64,84.09,61.87,17.45,0.004,0.008,0.006,0.002,0,0.016,0.008,0,0.014,0,0,0,0.002,0,0.684,0.006,0.002,0.002,0,0.002,0,0.006,0.008,0.01,0.01,0.004,0.03,0.012,0.008,0,0,0,0.036,0.028,0.022,0.014,0.024,0.012,0,0,0,0.01,0.01,FALSE,FALSE
SR2_20151012_164700_588.wav,1,1,1.01,192000,30.5,5.83,30.5,45,28.5,16.5,35.25,36.75,116.62,58.55,13.86,7.6,0.002,0.044,0.016,0.008,0,0.012,0.004,0,0.042,0.004,0.004,0.002,0.01,0.004,0.422,0.006,0.002,0.002,0,0,0,0.008,0.01,0.056,0.026,0.02,0.042,0.044,0.016,0,0,0.004,0.022,0.048,0.04,0.02,0.016,0.026,0.002,0.002,0.006,0.004,0.004,FALSE,FALSE
SR2_20151012_164700_588.wav,2,1,1.01,192000,98.67,6.33,68.17,45,27,18,35.25,35.25,45.37,11.71,20.77,6.87,0.006,0.008,0.016,0,0,0.01,0.01,0,0.024,0.002,0.004,0,0.01,0.006,0.518,0.018,0.006,0,0,0,0.006,0.006,0.006,0.018,0.01,0.012,0.076,0.008,0.014,0,0,0.004,0.08,0.024,0.014,0.012,0.038,0.02,0.002,0,0.002,0.006,0.004,FALSE,FALSE
SR2_20151012_164714_079.wav,0,1,1.02,192000,0.33,29.33,9999,49.5,27.75,21.75,36,33,80.08,76.65,58.75,47.02,0.008,0.002,0,0.01,0,0.01,0.01,0,0.004,0,0,0,0,0,0.8,0.002,0.002,0,0,0,0.006,0.002,0.004,0.01,0,0.002,0.026,0.002,0.002,0,0,0,0.024,0.012,0.014,0.006,0.032,0.002,0,0,0.004,0.002,0.002,FALSE,FALSE
SR2_20151012_164714_079.wav,1,1,1.02,192000,98.5,6.17,98.17,54.75,28.5,26.25,32.25,40.5,101.32,5.59,22.71,6.82,0.004,0.012,0.012,0,0,0.006,0.01,0,0.014,0,0,0.002,0,0.004,0.594,0.01,0.01,0,0,0,0,0.002,0.006,0.026,0.014,0.002,0.154,0.01,0.004,0,0,0.004,0.014,0.02,0.012,0.002,0.018,0.018,0,0,0.002,0.006,0.008,FALSE,FALSE
