"filename","obs_datetime","species_auto","conf_intvl","sucess","species_man","validator","validator_comments"
"SR2_20160702_210528_748.wav",2016-07-02 21:05:28,"Barbar",5,FALSE,"-","-","-"
"SR2_20160929_235100_000.wav",2016-09-29 23:51:00,"Barbar",7,FALSE,"-","-","-"
"SR2_20171001_194902_000.wav",2017-10-01 19:49:02,"Barbar",7,FALSE,"-","-","-"
"SR2_20170829_000539_000.wav",2017-08-29 00:05:39,"Barbar",8,FALSE,"-","-","-"
"SR2_20180307_225116_000.wav",2018-03-07 22:51:16,"Barbar",8,FALSE,"-","-","-"
"SR2_20171011_222059_000.wav",2017-10-11 22:20:59,"Barbar",8,FALSE,"-","-","-"
"SR2_20171007_201735_000.wav",2017-10-07 20:17:35,"Barbar",8,FALSE,"-","-","-"
"SR2_20170913_021040_000.wav",2017-09-13 02:10:40,"Barbar",8,FALSE,"-","-","-"
"SR2_20171001_233604_000.wav",2017-10-01 23:36:04,"Barbar",9,FALSE,"-","-","-"
"SR2_20171002_000210_000.wav",2017-10-02 00:02:10,"Barbar",9,FALSE,"-","-","-"
"SR2_20160911_201113_000.wav",2016-09-11 20:11:13,"Barbar",9,FALSE,"-","-","-"
"SR2_20160920_193835_000.wav",2016-09-20 19:38:35,"Barbar",9,FALSE,"-","-","-"
"SR2_20171002_000217_000.wav",2017-10-02 00:02:17,"Barbar",9,FALSE,"-","-","-"
"SR2_20160228_205332_948.wav",2016-02-28 20:53:32,"Barbar",9,FALSE,"-","-","-"
"SR2_20170905_225110_000.wav",2017-09-05 22:51:10,"Barbar",9,FALSE,"-","-","-"
"SR2_20180710_213244_000.wav",2018-07-10 21:32:44,"Barbar",10,FALSE,"-","-","-"
"SR2_20160915_015337_000.wav",2016-09-15 01:53:37,"Barbar",10,FALSE,"-","-","-"
"SR2_20171002_230315_000.wav",2017-10-02 23:03:15,"Barbar",10,FALSE,"-","-","-"
"SR2_20160910_020110_000.wav",2016-09-10 02:01:10,"Barbar",10,FALSE,"-","-","-"
"SR2_20171002_000204_000.wav",2017-10-02 00:02:04,"Barbar",10,FALSE,"-","-","-"
"SR2_20160929_033204_000.wav",2016-09-29 03:32:04,"Barbar",10,FALSE,"-","-","-"
"SR2_20171011_220229_000.wav",2017-10-11 22:02:29,"Barbar",10,FALSE,"-","-","-"
"SR2_20171002_044704_000.wav",2017-10-02 04:47:04,"Barbar",10,FALSE,"-","-","-"
"SR2_20160913_223614_000.wav",2016-09-13 22:36:14,"Barbar",10,FALSE,"-","-","-"
"SR2_20151013_204510_985.wav",2015-10-13 20:45:10,"Barbar",10,FALSE,"-","-","-"
"SR2_20161007_034326_000.wav",2016-10-07 03:43:26,"Barbar",10,FALSE,"-","-","-"
"SR2_20160915_015342_000.wav",2016-09-15 01:53:42,"Barbar",10,FALSE,"-","-","-"
"SR2_20171018_184053_000.wav",2017-10-18 18:40:53,"Barbar",10,FALSE,"-","-","-"
"SR2_20151029_201211_020.wav",2015-10-29 20:12:11,"Barbar",10,FALSE,"-","-","-"
"SR2_20160928_024009_000.wav",2016-09-28 02:40:09,"Barbar",10,FALSE,"-","-","-"
"SR2_20151021_210532_808.wav",2015-10-21 21:05:32,"Barbar",10,FALSE,"-","-","-"
"SR2_20161007_034737_000.wav",2016-10-07 03:47:37,"Barbar",10,FALSE,"-","-","-"
"SR2_20171026_220521_000.wav",2017-10-26 22:05:21,"Barbar",10,FALSE,"-","-","-"
