filename,species,accuracy
SR2_20160109_181939_596.wav,Myonat,0.87
SR2_20160109_185459_816.wav,Myonat,0.82
SR2_20160107_083259_024.wav,Pippip,0.54
SR2_20160112_211130_161.wav,Pippip,0.62
SR2_20160114_160934_732.wav,Pippip,0.51
SR2_20160114_162820_119.wav,Pippip,0.58
SR2_20160114_164322_187.wav,Pippip,0.74
SR2_20160114_164839_264.wav,Pippip,0.73
SR2_20160114_170108_375.wav,Pippip,0.86
SR2_20160114_170145_275.wav,Pippip,0.63
SR2_20160114_170946_560.wav,Pippip,0.65
SR2_20160114_172331_017.wav,Pippip,0.65
SR2_20160114_172534_468.wav,Pippip,0.67
SR2_20160114_172552_684.wav,Pippip,0.78
SR2_20160114_172700_053.wav,Pippip,0.78
SR2_20160114_172757_725.wav,Pippip,0.67
SR2_20160114_172803_695.wav,Pippip,0.51
SR2_20160114_172929_515.wav,Pippip,0.53
SR2_20160114_173036_435.wav,Pippip,0.79
SR2_20160114_173040_200.wav,Pippip,0.8
SR2_20160114_173058_928.wav,Pippip,0.74
SR2_20160114_173140_625.wav,Pippip,0.87
SR2_20160114_173228_436.wav,Pippip,0.5
SR2_20160114_173408_748.wav,Pippip,0.8
SR2_20160114_173530_721.wav,Pippip,0.58
SR2_20160114_173700_375.wav,Pippip,0.65
SR2_20160114_173940_243.wav,Pippip,0.68
SR2_20160114_174115_225.wav,Pippip,0.56
SR2_20160114_174152_727.wav,Pippip,0.72
SR2_20160114_174210_439.wav,Pippip,0.53
SR2_20160114_174931_909.wav,Pippip,0.58
SR2_20160114_175116_143.wav,Pippip,0.59
SR2_20160114_175657_133.wav,Pippip,0.55
SR2_20160114_181651_961.wav,Pippip,0.63
SR2_20160114_202617_699.wav,Pippip,0.74
SR2_20160116_164805_863.wav,Pippip,0.65
SR2_20160116_164903_565.wav,Pippip,0.9
SR2_20160116_165123_945.wav,Pippip,0.71
SR2_20160116_165359_352.wav,Pippip,0.53
SR2_20160116_165654_013.wav,Pippip,0.52
SR2_20160114_165330_577.wav,Pippyg,0.67
SR2_20160114_165816_368.wav,Pippyg,0.57
