Filename,CallNum,Version,FileDur,SampleRate,StTime,Dur,PrevSt,Fmax,Fmin,BW,FreqMP,CM_FIF,Amp1,Amp2,Amp3,Amp4,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,HL,HU
SR2_20160102_035003_921.wav,0,1,1.08,192000,0,0.67,9999,95.25,3,92.25,45.75,36.75,1174.02,637.05,283.42,72.49,0.002,0.014,0.02,0,0,0.01,0.028,0,0.008,0.008,0,0.004,0.002,0.008,0.116,0.008,0.01,0,0,0.002,0.002,0.038,0.004,0.012,0.028,0.026,0.396,0.018,0.014,0,0,0.012,0.032,0.012,0.032,0.014,0.046,0.018,0,0,0.006,0.01,0.04,FALSE,FALSE
SR2_20160102_035003_921.wav,1,1,1.08,192000,1024,1.5,1024,42,26.25,15.75,39,0,0.03,0.75,54.12,1.04,0.006,0.006,0.024,0,0,0.016,0.028,0,0.008,0.002,0.004,0.002,0.006,0.046,0.256,0.012,0.006,0,0,0,0,0.002,0.002,0.024,0.006,0.016,0.296,0.018,0.006,0,0,0.01,0.07,0.006,0.014,0.018,0.06,0.006,0.002,0.002,0.002,0.006,0.012,FALSE,FALSE
SR2_20160102_035003_921.wav,2,1,1.08,192000,1029,0.83,5,18,7.5,10.5,13.5,13.5,24.4,82.17,41.3,5.53,0.006,0.002,0.028,0.002,0,0.006,0.012,0,0.002,0.016,0.01,0.002,0.002,0.012,0.054,0.002,0.008,0,0,0.006,0.002,0.004,0.004,0.008,0.006,0.012,0.556,0.006,0.006,0,0,0.026,0.06,0.008,0.012,0.008,0.042,0.006,0,0,0,0.014,0.05,FALSE,FALSE
SR2_20160102_035003_921.wav,3,1,1.08,192000,1035.17,0.33,6.17,55.5,31.5,24,34.5,47.25,4.65,31.86,49.96,58.95,0.002,0.02,0.016,0,0,0.034,0.036,0,0.004,0,0.02,0.004,0,0.102,0.07,0.002,0.012,0,0,0,0.004,0.008,0.026,0.03,0.026,0.042,0.262,0.024,0.002,0,0,0.006,0.06,0.016,0.052,0.026,0.026,0.022,0,0,0.006,0.02,0.02,FALSE,FALSE
SR2_20160102_035104_000.wav,0,1,1.1,192000,366.67,0.67,9999,18,9,9,12,12,1.52,24.34,24.77,3.7,0.016,0.002,0.086,0,0,0.006,0.028,0,0.002,0.002,0.002,0.002,0,0.012,0.024,0.022,0.008,0,0,0.002,0.002,0,0,0.006,0.002,0.002,0.438,0.01,0.008,0,0,0.006,0.094,0.002,0.012,0.012,0.024,0.01,0.002,0.002,0,0.016,0.138,FALSE,FALSE
SR2_20160102_035634_775.wav,0,1,1.02,192000,0.17,3.17,9999,95.25,29.25,66,33.75,50.25,672.04,247.15,65.54,189.41,0.002,0.02,0.018,0.012,0,0.018,0.038,0,0.018,0.002,0.004,0.008,0.006,0.002,0.128,0,0.004,0,0,0,0.004,0.034,0.02,0.048,0.046,0.042,0.246,0.008,0.008,0,0,0.008,0.03,0.016,0.072,0.04,0.05,0.018,0,0.004,0.01,0.01,0.006,FALSE,TRUE
SR2_20160102_035634_775.wav,1,1,1.02,192000,0.17,2.67,9999,27.75,3,24.75,12,0,163.3,82.17,1.55,13.5,0.006,0,0.024,0,0.002,0.006,0.022,0,0.006,0.018,0,0,0.002,0,0.026,0.012,0.002,0,0,0,0,0.006,0.004,0.016,0,0.006,0.626,0.018,0.004,0,0,0.008,0.064,0.008,0.018,0.014,0.022,0.006,0,0.002,0,0.016,0.036,TRUE,FALSE
SR2_20160102_035634_775.wav,2,1,1.02,192000,268,0.67,267.83,12.75,9.75,3,12,12,5.03,14,18.01,4,0.024,0.002,0.044,0,0,0.004,0.01,0,0.006,0.02,0,0,0,0.002,0.004,0.044,0.004,0.002,0,0.006,0,0,0,0,0.002,0.006,0.286,0.008,0.022,0,0,0.002,0.146,0.012,0.016,0.008,0.026,0.006,0,0,0,0.02,0.268,FALSE,FALSE
SR2_20160102_035634_775.wav,3,1,1.02,192000,294.83,0.33,26.83,14.25,7.5,6.75,9,9,20.38,28.87,22.38,0.9,0.004,0,0.038,0.002,0,0.012,0.016,0,0.004,0.006,0.004,0.004,0,0.028,0.026,0.014,0.004,0,0,0,0.004,0.002,0.002,0.012,0.008,0.002,0.558,0.004,0.004,0,0,0.016,0.072,0.004,0.002,0.012,0.05,0.008,0,0,0,0.02,0.058,FALSE,FALSE
SR2_20160102_035634_775.wav,4,1,1.02,192000,347.67,1.5,52.83,20.25,6,14.25,13.5,0,0.9,91.81,97.08,18.86,0.016,0.01,0.03,0,0.002,0.008,0.018,0,0.004,0.01,0,0.004,0,0.004,0.014,0.004,0.004,0,0,0.002,0,0.008,0.004,0.018,0.01,0.034,0.582,0.016,0.014,0.002,0,0.01,0.04,0.016,0.012,0.012,0.012,0.024,0,0.002,0.008,0.016,0.03,FALSE,FALSE
