Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
SR2_20160428_225020_288.wav,0.022,0.03,0.078,0.004,0.002,0.064,0.1,0,0.058,0.016,0.018,0.01,0.014,0.164,0.202,0.014,0.02,0.002,0.004,0.004,0.01,0.01,0.022,0.132,0.034,0.082,0.602,0.03,0.022,0,0,0.034,0.11,0.038,0.068,0.04,0.106,0.036,0.006,0.01,0.072,0.036,0.156,35,34.5,34.5,0,1,16,0,1,30.3,165.4,13,22.6,192000,N1,0.602,noise,5
SR2_20160428_225057_349.wav,0.018,0.062,0.042,0.002,0.002,0.038,0.068,0,0.054,0.008,0.018,0.012,0.01,0.158,0.174,0.032,0.02,0.004,0,0.002,0.022,0.016,0.03,0.292,0.098,0.054,0.784,0.04,0.042,0.002,0,0.01,0.128,0.054,0.05,0.036,0.08,0.058,0.002,0.01,0.048,0.038,0.11,34,36,35.2,0,1.1,12,1,1,35,125.3,16,28.4,192000,N1,0.784,noise,5
SR2_20160428_225059_176.wav,0.018,0.048,0.056,0.004,0.006,0.066,0.146,0,0.066,0.018,0.03,0.016,0.012,0.114,0.234,0.024,0.022,0.002,0,0.006,0.02,0.028,0.026,0.112,0.064,0.084,0.714,0.03,0.042,0.002,0.002,0.07,0.112,0.062,0.102,0.058,0.1,0.048,0.012,0.024,0.128,0.124,0.136,35,33.8,31.5,0,1,22,1,2,37.9,103.6,15,32.5,192000,N1,0.714,noise,5
SR2_20160428_225131_236.wav,0.024,0.034,0.036,0.006,0.002,0.038,0.108,0,0.044,0.02,0.016,0.014,0.02,0.144,0.242,0.018,0.018,0.002,0.004,0.006,0.022,0.022,0.038,0.076,0.05,0.1,0.698,0.026,0.032,0.002,0,0.034,0.114,0.046,0.084,0.046,0.14,0.038,0.006,0.024,0.028,0.06,0.074,36,34.5,27.8,0,1.1,20,0,2,30.6,82.9,14,26.1,192000,N1,0.698,noise,5
SR2_20160428_225143_273.wav,0.022,0.038,0.074,0.006,0.002,0.062,0.114,0,0.04,0.014,0.032,0.012,0.036,0.128,0.22,0.018,0.022,0.002,0.002,0.002,0.026,0.024,0.026,0.07,0.062,0.064,0.602,0.044,0.032,0,0,0.032,0.144,0.064,0.052,0.054,0.142,0.032,0.008,0.016,0.022,0.028,0.144,36,36,35.2,0,1,12,0,1,32.1,193.6,14,23.9,192000,N1,0.602,noise,5
SR2_20160428_225155_207.wav,0.026,0.028,0.09,0.004,0.004,0.054,0.124,0,0.034,0.014,0.014,0.012,0.02,0.194,0.218,0.036,0.02,0.002,0,0.01,0.02,0.014,0.032,0.114,0.074,0.08,0.58,0.024,0.02,0.002,0,0.022,0.148,0.048,0.138,0.098,0.146,0.066,0.008,0.012,0.096,0.028,0.138,40,42,36.4,0,1.1,15,1,1,36.2,190.1,15,28.7,192000,N1,0.58,noise,5
SR2_20160428_225227_803.wav,0.036,0.044,0.062,0.004,0.006,0.1,0.2,0.002,0.034,0.014,0.024,0.018,0.04,0.092,0.248,0.024,0.02,0.002,0.002,0.012,0.036,0.018,0.034,0.076,0.058,0.146,0.76,0.044,0.02,0.002,0,0.032,0.136,0.112,0.086,0.102,0.178,0.056,0.008,0.02,0.068,0.054,0.118,38,34.5,33,0,1.1,23,1,2,30.8,110.9,13,26.6,192000,N1,0.76,noise,5
SR2_20160428_225238_027.wav,0.038,0.062,0.082,0.004,0.006,0.09,0.204,0,0.042,0.01,0.036,0.026,0.012,0.132,0.138,0.054,0.022,0.004,0.002,0.012,0.018,0.026,0.04,0.122,0.046,0.1,0.668,0.046,0.064,0.002,0,0.042,0.158,0.068,0.104,0.106,0.166,0.042,0.01,0.008,0.058,0.052,0.13,39,37.5,35.2,0,1.1,25,1,2,34.1,90.2,16,30.3,192000,N1,0.668,noise,5
SR2_20160428_225300_347.wav,0.018,0.024,0.056,0.004,0.006,0.05,0.126,0,0.034,0.014,0.018,0.01,0.01,0.15,0.246,0.02,0.026,0.002,0.002,0.006,0.018,0.036,0.038,0.116,0.056,0.096,0.73,0.036,0.026,0.002,0,0.026,0.18,0.084,0.18,0.092,0.144,0.04,0.01,0.018,0.048,0.07,0.206,35,29.2,16.5,0,1.1,29,1,2,36.5,171.4,16,31.8,192000,N1,0.73,noise,5
SR2_20160428_225312_728.wav,0.022,0.02,0.052,0.004,0.006,0.046,0.086,0,0.03,0.018,0.026,0.018,0.02,0.142,0.31,0.026,0.018,0.002,0,0.004,0.014,0.012,0.034,0.066,0.04,0.07,0.722,0.04,0.016,0.002,0,0.018,0.12,0.036,0.082,0.046,0.118,0.046,0.008,0.014,0.076,0.04,0.22,37,35.2,35.6,0,1.1,14,0,2,33,80.6,15,28.7,192000,N1,0.722,noise,5
