filename,species,accuracy
SR2_20160127_171826_391.wav,Myodau,0.99
SR2_20160127_200310_641.wav,Myodau,0.5
SR2_20160127_202607_249.wav,Myodau,0.52
SR2_20160129_184351_976.wav,Myodau,0.81
SR2_20160129_211815_303.wav,Myodau,0.7
SR2_20160129_211830_985.wav,Myodau,0.69
SR2_20160201_002827_124.wav,Myodau,0.64
SR2_20160205_190430_243.wav,Myodau,0.84
SR2_20160205_195755_489.wav,Myodau,0.93
SR2_20160205_201626_712.wav,Myodau,0.9
SR2_20160205_223849_124.wav,Myodau,0.66
SR2_20160205_225632_724.wav,Myodau,0.89
SR2_20160206_015252_487.wav,Myodau,0.7
SR2_20160206_205611_321.wav,Myodau,0.55
SR2_20160123_181203_497.wav,Myonat,0.74
SR2_20160123_232712_596.wav,Myonat,0.8
SR2_20160125_175817_436.wav,Myonat,0.96
SR2_20160125_181536_827.wav,Myonat,0.6
SR2_20160125_183600_599.wav,Myonat,0.72
SR2_20160125_184719_817.wav,Myonat,0.69
SR2_20160125_185003_571.wav,Myonat,0.77
SR2_20160125_185005_229.wav,Myonat,0.61
SR2_20160125_192416_632.wav,Myonat,0.93
SR2_20160125_200711_247.wav,Myonat,0.5
SR2_20160125_200750_704.wav,Myonat,0.52
SR2_20160125_200931_145.wav,Myonat,0.54
SR2_20160127_200305_849.wav,Myonat,0.82
SR2_20160127_202612_068.wav,Myonat,0.96
SR2_20160127_202705_400.wav,Myonat,0.62
SR2_20160127_202710_573.wav,Myonat,0.55
SR2_20160127_213104_000.wav,Myonat,0.65
SR2_20160129_193347_492.wav,Myonat,0.55
SR2_20160129_211825_985.wav,Myonat,0.89
SR2_20160129_213432_204.wav,Myonat,0.69
SR2_20160201_003653_752.wav,Myonat,0.84
SR2_20160201_023433_316.wav,Myonat,0.54
SR2_20160201_054524_581.wav,Myonat,0.55
SR2_20160204_194304_180.wav,Myonat,0.84
SR2_20160204_194307_483.wav,Myonat,0.79
SR2_20160205_183451_092.wav,Myonat,0.61
SR2_20160205_193144_740.wav,Myonat,0.99
SR2_20160205_194919_927.wav,Myonat,0.75
SR2_20160205_195758_091.wav,Myonat,0.97
SR2_20160205_202459_728.wav,Myonat,0.85
SR2_20160205_215247_265.wav,Myonat,0.59
SR2_20160205_215426_760.wav,Myonat,0.86
SR2_20160205_215552_945.wav,Myonat,0.94
SR2_20160205_220716_539.wav,Myonat,0.65
SR2_20160205_223753_624.wav,Myonat,0.9
SR2_20160205_223959_185.wav,Myonat,0.93
SR2_20160205_224252_065.wav,Myonat,0.99
SR2_20160205_230432_032.wav,Myonat,0.96
SR2_20160205_231413_688.wav,Myonat,0.54
SR2_20160205_231534_892.wav,Myonat,0.99
SR2_20160206_193517_268.wav,Myonat,0.98
SR2_20160206_193629_961.wav,Myonat,0.56
SR2_20160206_205314_479.wav,Myonat,0.53
SR2_20160123_200624_408.wav,Pippip,0.97
SR2_20160123_200627_555.wav,Pippip,0.98
SR2_20160124_172238_177.wav,Pippip,0.98
SR2_20160124_172243_177.wav,Pippip,0.76
SR2_20160124_181644_124.wav,Pippip,0.99
SR2_20160124_182254_189.wav,Pippip,0.98
SR2_20160124_225927_136.wav,Pippip,0.97
SR2_20160124_225929_287.wav,Pippip,0.93
SR2_20160125_000533_871.wav,Pippip,0.98
SR2_20160127_193950_152.wav,Pippip,0.98
SR2_20160127_194025_099.wav,Pippip,0.98
SR2_20160201_035033_539.wav,Pippip,0.98
SR2_20160205_231626_064.wav,Pippip,0.97
SR2_20160205_231637_403.wav,Pippip,0.98
SR2_20160205_231640_792.wav,Pippip,0.97
SR2_20160205_232404_668.wav,Pippip,0.97
SR2_20160208_180035_308.wav,Pippip,0.57
SR2_20160210_174649_609.wav,Pippip,0.99
SR2_20160123_180049_687.wav,Pippyg,0.97
SR2_20160124_175805_585.wav,Pippyg,0.96
SR2_20160124_193512_692.wav,Pippyg,0.96
