Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
ECC_20181115_165520_000.wav,0.012,0.034,0.014,0.008,0,0.01,0.008,0,0.048,0.002,0.002,0.002,0.006,0.01,0.018,0.008,0.006,0.002,0.006,0.002,0.022,0.006,0.034,0.066,0.062,0.014,0.028,0.016,0.014,0.002,0,0.002,0.02,0.33,0.882,0.108,0.006,0.02,0.022,0.02,0.05,0.014,0.022,50,45.8,45,0,3,33,17,30,93.1,205,41,85.1,192000,N1,0.882,Pippip,5
ECC_20181115_172053_000.wav,0.008,0.024,0.026,0.004,0.002,0.008,0.012,0,0.038,0.002,0,0,0.002,0.002,0.016,0.026,0.006,0.002,0.008,0.002,0.034,0.004,0.022,0.028,0.018,0.008,0.086,0.018,0.016,0,0,0,0.016,0.052,0.362,0.836,0.01,0.014,0.006,0.038,0.086,0.02,0.036,55,53.2,53.2,0,2.4,21,14,27,66.2,200.9,25,56.3,192000,N1,0.836,Pippyg,5
ECC_20181115_180642_000.wav,0.004,0.006,0.006,0.004,0,0.008,0.002,0,0.01,0,0.002,0,0,0.004,0.01,0.002,0,0.002,0.026,0.002,0.012,0.004,0.014,0.016,0.014,0.004,0.036,0.012,0.012,0,0,0.002,0.008,0.03,0.164,0.95,0.004,0.002,0.004,0.042,0.074,0.004,0.004,58,54.8,54.8,0,1.9,17,17,24,74.5,194.2,31,60.3,192000,N1,0.95,Pippyg,5
ECC_20181116_025647_000.wav,0.01,0.024,0.02,0.002,0,0.002,0.002,0,0.02,0,0,0,0.002,0.002,0.014,0.006,0.002,0.004,0.016,0.002,0.016,0.01,0.022,0.022,0.04,0.006,0.012,0.012,0.012,0,0,0,0.006,0.31,0.93,0.088,0.002,0.006,0.032,0.026,0.014,0.004,0.002,50,47.2,45,0,3.5,27,18,29,74.1,224.5,30,62.2,192000,N1,0.93,Pippip,5
ECC_20181127_203213_000.wav,0.028,0.03,0.052,0.006,0,0.044,0.044,0,0.066,0.006,0.014,0.014,0.004,0.064,0.184,0.062,0.034,0.002,0.002,0.01,0.006,0.008,0.022,0.072,0.02,0.034,0.264,0.036,0.05,0.004,0,0.006,0.296,0.028,0.048,0.082,0.104,0.044,0.014,0.006,0.006,0.024,0.082,39,30.8,34.5,0,0.6,5,3,38,38.6,364.6,19,35,192000,N1,0.296,Phogri,5
ECC_20181201_222744_000.wav,0.016,0.04,0.026,0.004,0,0.008,0.006,0,0.06,0.002,0.002,0.002,0.002,0.01,0.028,0.008,0.014,0.004,0.008,0.002,0.03,0.024,0.038,0.1,0.056,0.062,0.152,0.018,0.054,0,0,0.002,0.032,0.176,0.922,0.078,0.018,0.022,0.01,0.028,0.064,0.012,0.06,52,48,46.5,0,5,37,21,31,95.6,268.2,40,84.6,192000,N1,0.922,Pippip,5
ECC_20181201_222749_000.wav,0.01,0.03,0.028,0.004,0.002,0.006,0.002,0,0.016,0,0.004,0.002,0.004,0.012,0.022,0.002,0,0.002,0,0,0.002,0,0.01,0.012,0.004,0.002,0.142,0.01,0.024,0,0,0,0.01,0.064,0.33,0.078,0.002,0.002,0.026,0.028,0.066,0.022,0.02,46,48,48,0,0.1,1,4,4,11.5,11.5,4,10,192000,N1,0.33,Pippip,5
ECC_20181201_223255_000.wav,0.016,0.03,0.016,0.004,0.002,0.024,0.008,0,0.024,0.002,0.002,0.002,0.002,0.006,0.036,0.012,0.004,0.004,0.01,0.002,0.024,0.006,0.028,0.068,0.048,0.01,0.03,0.01,0.02,0,0,0,0.01,0.138,0.892,0.128,0.012,0.008,0.012,0.024,0.05,0.006,0.01,50,46.5,46.5,0,3.8,29,17,28,89.8,140.8,34,80.9,192000,N1,0.892,Pippip,5
ECC_20181208_053619_000.wav,0.148,0.056,0.114,0.004,0.002,0.096,0.074,0,0.098,0.008,0.006,0.01,0.008,0.012,0.086,0.158,0.074,0.002,0.006,0.014,0.016,0.012,0.022,0.06,0.018,0.028,0.278,0.072,0.206,0.004,0,0.008,0.206,0.058,0.104,0.132,0.292,0.05,0.014,0.044,0.068,0.082,0.122,37,30.8,28.5,0,1.8,20,9,78,14.8,189.7,6,4,192000,N1,0.292,Plaalb,5
ECC_20181208_220909_000.wav,0.102,0.058,0.104,0.02,0.002,0.032,0.084,0,0.054,0.008,0.02,0.02,0.006,0.106,0.226,0.048,0.016,0.002,0.006,0.02,0.026,0.012,0.032,0.07,0.06,0.084,0.372,0.11,0.088,0.002,0,0.018,0.1,0.118,0.194,0.108,0.112,0.05,0.012,0.026,0.05,0.068,0.08,44,42.8,33.8,0,0.8,9,2,12,36.7,71.3,13,30.2,192000,N1,0.372,noise,5
ECC_20181208_220918_000.wav,0.104,0.024,0.144,0.018,0.002,0.028,0.042,0,0.048,0.008,0.014,0.01,0.012,0.052,0.21,0.098,0.014,0.008,0.014,0.022,0.014,0.004,0.024,0.042,0.026,0.026,0.208,0.082,0.128,0.002,0,0.014,0.17,0.194,0.174,0.324,0.11,0.034,0.03,0.06,0.08,0.068,0.044,39,40.5,24.8,0,1.2,5,5,12,16.6,28.9,8,14.3,192000,N1,0.324,Pippyg,5
ECC_20181215_151933_000.wav,0.016,0.02,0.064,0.004,0.002,0.024,0.038,0,0.05,0.01,0.01,0.006,0.008,0.032,0.14,0.08,0.03,0,0.002,0.01,0.014,0.01,0.036,0.09,0.064,0.03,0.238,0.034,0.058,0,0,0.044,0.196,0.064,0.13,0.068,0.158,0.02,0.008,0.016,0.024,0.032,0.084,43,40.1,27.4,0,0.2,4,4,14,16.8,406.8,7,11.3,192000,N1,0.238,noise,5
ECC_20181215_162326_000.wav,0.034,0.008,0.106,0.008,0.002,0.05,0.028,0.002,0.016,0.014,0.006,0.006,0,0.004,0.228,0.024,0.008,0.002,0,0.004,0,0.002,0.01,0.02,0.008,0.016,0.34,0.012,0.018,0.004,0,0.006,0.164,0.006,0.034,0.016,0.066,0.03,0.002,0.006,0.002,0.012,0.11,26,28.1,27.4,0,0.1,2,14,18,332.5,580.2,138,313.8,192000,N1,0.34,noise,5
ECC_20181215_174021_000.wav,0.026,0.044,0.102,0.004,0.004,0.032,0.044,0,0.038,0.02,0.016,0.004,0.006,0.03,0.188,0.038,0.018,0.004,0,0.008,0.006,0.016,0.014,0.082,0.05,0.07,0.696,0.022,0.032,0.002,0,0.01,0.168,0.076,0.056,0.042,0.102,0.04,0.006,0.008,0.016,0.036,0.284,24,24,10.5,0,1,8,2,5,22.1,104.8,9,21,192000,N1,0.696,noise,5
ECC_20181215_174322_000.wav,0.016,0.024,0.046,0.002,0.002,0.092,0.092,0,0.088,0.02,0.02,0.008,0.008,0.052,0.212,0.05,0.014,0.002,0,0.01,0.008,0.01,0.02,0.066,0.046,0.1,0.796,0.034,0.088,0.002,0,0.016,0.112,0.026,0.066,0.046,0.126,0.064,0.01,0.008,0.014,0.052,0.084,26,28.5,24.8,0,0.8,8,1,4,22.3,44.4,10,19.6,192000,N1,0.796,noise,5
ECC_20181223_200812_000.wav,0.022,0.06,0.114,0.002,0.002,0.062,0.042,0,0.04,0.014,0.018,0.02,0.01,0.112,0.192,0.032,0.022,0,0.002,0.002,0.006,0.012,0.022,0.158,0.028,0.03,0.444,0.026,0.01,0.002,0,0.012,0.154,0.042,0.048,0.036,0.106,0.08,0,0.012,0.01,0.052,0.156,39,40.5,40.1,0,0.2,5,1,5,77.5,352.3,36,74.4,192000,N1,0.444,noise,5
ECC_20181226_230537_000.wav,0.016,0.02,0.014,0.002,0,0.01,0.004,0,0.01,0,0.002,0.002,0.004,0.006,0.014,0.004,0.006,0.004,0.016,0.002,0.016,0.006,0.022,0.044,0.046,0.014,0.046,0.01,0.018,0,0,0.002,0.024,0.142,0.904,0.138,0.008,0.008,0.022,0.02,0.04,0.008,0.026,49,46.5,46.5,0,1.5,16,18,24,43.2,111.7,13,33.6,192000,N1,0.904,Pippip,5
ECC_20181226_230539_000.wav,0.016,0.022,0.028,0.034,0,0.006,0.002,0,0.016,0,0,0.002,0.004,0.004,0.074,0.016,0.006,0.008,0.018,0.004,0.004,0.004,0.018,0.036,0.028,0.01,0.05,0.014,0.016,0,0,0.002,0.022,0.19,0.778,0.112,0.01,0.008,0.044,0.048,0.038,0.008,0.02,46,45,45,0,2.6,14,23,31,67.2,165.6,23,55.1,192000,N1,0.778,Pippip,5
ECC_20181208_053619_000.wav,0.268,0.192,0.13,0.012,0.002,0.016,0.02,0,0.126,0.01,0.002,0.002,0.004,0.008,0.122,0.11,0.006,0.006,0.002,0.032,0.012,0.006,0.012,0.042,0.018,0.016,0.126,0.124,0.284,0.002,0,0,0.054,0.086,0.226,0.054,0.026,0.022,0.026,0.034,0.022,0.018,0.048,18,17.2,17.2,0,1.3,5,24,26,38.1,50.1,13,33,192000,N2,0.284,Nycnoc,5
ECC_20181208_220918_000.wav,0.07,0.032,0.05,0.004,0,0.052,0.074,0.002,0.054,0.008,0.01,0.006,0.024,0.024,0.184,0.062,0.044,0.004,0.002,0.014,0.006,0.008,0.016,0.048,0.014,0.052,0.218,0.058,0.03,0.004,0,0.014,0.166,0.04,0.058,0.042,0.088,0.052,0.006,0.008,0.01,0.038,0.1,37,33,33,0,1.2,7,4,28,25.6,165.8,9,10.9,192000,N2,0.218,noise,5
ECC_20181208_053619_000.wav,0.02,0.01,0.018,0,0,0.04,0.044,0,0.014,0.002,0.006,0.008,0.004,0.014,0.056,0.022,0.026,0,0,0.002,0.006,0.006,0.014,0.066,0.034,0.034,0.198,0.008,0.01,0,0,0.002,0.22,0.038,0.054,0.028,0.032,0.022,0.004,0.008,0.014,0.056,0.056,50,54,49.5,0,1,1,7,11,14,15.5,4,3.6,192000,N3,0.22,Phogri,5
ECC_20181208_220918_000.wav,0.134,0.008,0.028,0.004,0,0.052,0.014,0,0.03,0,0,0,0.002,0.002,0.028,0.078,0.022,0,0.006,0.036,0,0.002,0.002,0.018,0.006,0.006,0.042,0.056,0.032,0,0,0.002,0.07,0.034,0.07,0.028,0.07,0.012,0.002,0.022,0.006,0.02,0.056,42,50.2,33,0.1,0.3,1,42,42,290.4,290.4,99,216,192000,N3,0.134,Aposyl,5
