Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
SR2_20170822_001904_000.wav,0.008,0.022,0.012,0.018,0,0.014,0.02,0,0.034,0.004,0.004,0.002,0.002,0.012,0.632,0.004,0.002,0.002,0,0,0.004,0.002,0.012,0.02,0.018,0.01,0.072,0.014,0.008,0,0,0.002,0.024,0.034,0.048,0.024,0.038,0.008,0.004,0.002,0,0.006,0.008,44,36.8,35.2,0,0.2,1,25,37,196.3,224.6,84,183.4,192000,N1,0.632,Leppun,5
SR2_20170822_001909_000.wav,0.002,0.012,0.014,0.024,0,0.02,0.032,0,0.048,0,0.008,0.01,0,0.056,0.686,0.004,0.006,0,0,0.002,0.002,0,0.016,0.022,0.014,0.014,0.276,0.02,0.006,0,0,0.004,0.054,0.018,0.038,0.036,0.122,0.018,0,0,0.008,0.006,0.008,50,47.2,46.9,0,0.1,2,21,38,149.9,235,60,123.5,192000,N1,0.686,Leppun,5
SR2_20170822_001917_000.wav,0.012,0.02,0.028,0.01,0,0.026,0.032,0,0.034,0.004,0.008,0.012,0.012,0.018,0.71,0.01,0.024,0.002,0,0.004,0.008,0.004,0.034,0.026,0.04,0.026,0.194,0.016,0.016,0.002,0,0.004,0.116,0.034,0.068,0.086,0.08,0.026,0.004,0.008,0.02,0.014,0.024,47,47.2,35.2,0,0.1,2,3,34,37,151.8,18,35.7,192000,N1,0.71,Leppun,5
SR2_20170822_001923_000.wav,0.004,0.014,0.026,0.01,0,0.024,0.036,0,0.014,0,0.006,0.006,0.004,0.028,0.784,0.006,0.004,0,0,0,0.004,0.002,0.016,0.01,0.008,0.002,0.258,0.004,0.008,0,0,0.018,0.076,0.018,0.024,0.014,0.076,0.01,0.002,0.002,0,0.012,0.012,39,38.6,18.8,0,0.2,1,25,43,139.4,232,61,131,192000,N1,0.784,Leppun,5
SR2_20170822_001927_000.wav,0.002,0.008,0.02,0.01,0,0.018,0.036,0,0.034,0.002,0.008,0.002,0,0.044,0.73,0.004,0.002,0,0.002,0.002,0.008,0.016,0.024,0.062,0.04,0.062,0.194,0.032,0.006,0,0,0.008,0.024,0.024,0.054,0.036,0.04,0.052,0,0.004,0.01,0.002,0.012,39,39.8,19.1,0,0.2,1,27,47,140.5,202.3,59,116.6,192000,N1,0.73,Leppun,5
SR2_20170822_001932_000.wav,0.004,0.016,0.006,0.004,0,0.006,0.002,0,0.04,0,0,0,0,0.002,0.68,0.004,0,0,0,0,0,0.004,0,0.012,0.01,0.008,0.02,0.018,0.014,0,0,0.002,0.008,0.018,0.04,0.026,0.028,0.014,0.004,0.004,0.002,0,0.004,42,39,34.5,0,0.1,1,42,42,235.2,235.2,94,207.3,192000,N1,0.68,Leppun,5
SR2_20170822_001937_000.wav,0.006,0.014,0.01,0.016,0,0.014,0.022,0,0.03,0.002,0.024,0.002,0.008,0.03,0.538,0,0.006,0.002,0.002,0,0.006,0.006,0.014,0.062,0.024,0.014,0.194,0.01,0.014,0,0,0.004,0.034,0.036,0.076,0.038,0.046,0.028,0,0.004,0.002,0.008,0.008,40,37.9,41.2,0,0.2,1,19,34,137.3,206.7,57,123.1,192000,N1,0.538,Leppun,5
SR2_20170822_001941_000.wav,0.004,0.006,0.004,0.006,0,0,0.002,0,0.008,0,0.002,0.002,0,0.002,0.828,0.002,0.004,0,0,0,0,0.002,0,0.004,0,0.008,0.022,0.01,0.004,0,0,0.002,0.008,0.008,0.012,0.014,0.03,0.002,0,0,0,0,0.004,41,36.8,36.8,0,0.1,1,41,41,217,217,84,184.5,192000,N1,0.828,Leppun,5
SR2_20170822_001945_000.wav,0.004,0.01,0.006,0.012,0,0.018,0.032,0,0.006,0,0.008,0.002,0.002,0.012,0.762,0,0.008,0,0,0,0,0.004,0.01,0.012,0.008,0.004,0.166,0.008,0.002,0.002,0,0.016,0.024,0.032,0.032,0.008,0.034,0.01,0,0.002,0.002,0.006,0.008,42,36,35.6,0,0.2,1,23,37,170.8,198.4,75,161.1,192000,N1,0.762,Leppun,5
SR2_20170822_001949_000.wav,0.002,0.008,0.006,0.01,0,0.02,0.028,0,0.016,0,0,0.006,0,0.034,0.772,0.002,0.03,0,0,0,0.008,0.002,0.008,0.018,0.022,0.004,0.212,0.004,0.008,0,0,0.008,0.112,0.018,0.022,0.008,0.176,0.008,0,0.006,0.01,0.002,0.006,52,50.6,48,0,0.1,2,21,38,136.8,224.6,52,120.6,192000,N1,0.772,Leppun,5
