Filename,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
ECC_20181005_175650_888.wav,0.032,0.026,52,46.5,45.8,0,1.1,10,14,18,113.1,165.2,48,108.1,192000,N1,0.676,Pippip,5
ECC_20181005_175844_815.wav,0.032,0.056,48,45,44.2,0,1.1,8,10,19,64.8,123,25,56.4,192000,N1,0.606,Pippip,5
ECC_20181005_175927_881.wav,0.004,0.01,56,53.2,54,0,1.4,15,11,20,30.6,105.8,10,22.6,192000,N1,0.86,Pippyg,5
ECC_20181005_175937_564.wav,0.016,0.02,50,45.8,45,0,1.4,13,12,19,52.1,127.5,18,41,192000,N1,0.77,Pippip,5
ECC_20181005_175945_401.wav,0.026,0.028,50,47.2,45,0,2.1,31,13,22,80.7,155.5,23,68.3,192000,N1,0.886,Pippip,5
ECC_20181005_180001_405.wav,0.03,0.028,47,44.2,43.5,0,0.9,8,7,21,16.4,135,6,12.2,192000,N1,0.646,Pippip,5
ECC_20181005_180004_192.wav,0.02,0.044,48,45,44.2,0,1,10,11,14,37.4,131.6,15,31.2,192000,N1,0.752,Pippip,5
ECC_20181005_180005_437.wav,0.028,0.052,49,46.5,45.8,0,1.1,13,8,13,33.1,65.3,13,29.6,192000,N1,0.662,Pippip,5
ECC_20181005_180050_227.wav,0.006,0.008,49,45,44.2,0,1,11,13,20,70.2,130.2,29,62.5,192000,N1,0.726,Pippip,5
ECC_20181005_180103_540.wav,0.066,0.052,51,45.8,45,0,1.3,19,15,18,109.3,163.2,41,100.3,192000,N1,0.774,Pippip,5
ECC_20181005_180117_857.wav,0.02,0.034,50,45.4,44.2,0,1.6,16,13,17,90.9,149.9,36,82.8,192000,N1,0.746,Pippip,5
ECC_20181005_180158_593.wav,0.018,0.03,53,48.8,46.5,0,0.5,8,14,19,112.5,161.1,41,104.5,192000,N1,0.768,Pippip,5
ECC_20181005_180207_248.wav,0.036,0.044,47,44.2,44.2,0,1.1,8,8,20,34.5,129,13,24.3,192000,N1,0.752,Pippip,5
ECC_20181005_180216_779.wav,0.028,0.048,50,47.2,47.2,0,0.8,11,11,15,29.6,97.3,11,24.3,192000,N1,0.772,Pippip,5
ECC_20181005_180219_797.wav,0.014,0.038,47,44.2,43.5,0,1.4,8,12,16,43.6,143.8,19,38.7,192000,N1,0.64,Pippip,5
ECC_20181005_180227_851.wav,0.03,0.042,46,43.5,43.5,0,1.1,10,7,14,15.4,151.2,7,7,192000,N1,0.638,Pippip,5
ECC_20181005_180234_864.wav,0.046,0.064,48,45,44.2,0,3,32,14,18,63.7,188.7,24,53.9,192000,N1,0.8,Pippip,5
ECC_20181005_180242_983.wav,0.058,0.04,47,45,44.2,0,1.3,13,8,17,31.9,119.7,9,24.6,192000,N1,0.72,Pippip,5
ECC_20181005_180254_740.wav,0.042,0.056,47,44.2,43.5,0,1.3,13,11,16,25.8,123.1,9,17,192000,N1,0.712,Pippip,5
ECC_20181005_180309_256.wav,0.03,0.018,47,44.2,44.2,0,1.5,13,11,17,25.7,140.9,10,19.2,192000,N1,0.752,Pippip,5
ECC_20181005_180327_548.wav,0.004,0.006,49,44.2,44.2,0,1,9,12,20,71.1,159.1,22,61.5,192000,N1,0.73,Pippip,5
ECC_20181005_180337_645.wav,0.026,0.03,47,45,44.2,0,1.2,10,9,19,33.7,133.4,12,22.4,192000,N1,0.754,Pippip,5
ECC_20181005_180342_723.wav,0.018,0.01,48,44.6,43.5,0,1.8,16,15,19,79.7,140.6,32,70.5,192000,N1,0.69,Pippip,5
ECC_20181005_180352_083.wav,0.006,0.016,47,44.2,44.2,0,1,9,9,17,31.4,163,8,17.1,192000,N1,0.706,Pippip,5
ECC_20181005_180403_961.wav,0.016,0.014,48,45,44.2,0,1.9,18,16,21,107.3,205.6,43,95.2,192000,N1,0.818,Pippip,5
ECC_20181005_181700_259.wav,0.004,0.014,46,46.5,46.5,0,1,7,8,16,16.7,80.8,8,10.4,192000,N1,0.726,Pippip,5
ECC_20181005_182429_069.wav,0.014,0.07,49,47.2,46.5,0,1.6,10,15,18,65.2,115.2,24,53.4,192000,N1,0.786,Pippip,5
ECC_20181005_182732_563.wav,0.032,0.026,31,24.8,25.5,0,1.1,7,15,19,46.2,194.2,15,38.2,192000,N1,0.412,Eptser,5
ECC_20181005_183350_084.wav,0.006,0.016,50,48.8,48,0,1,8,6,11,37.3,81.4,14,30.4,192000,N1,0.746,Pippip,5
ECC_20181005_183606_371.wav,0.004,0.01,52,51.8,51.8,0,0.8,5,13,16,49.4,65.6,18,42.6,192000,N1,0.664,Pippyg,5
ECC_20181005_183616_751.wav,0.004,0.028,52,51.8,51.4,0,1,8,12,17,36.9,69.3,11,24.3,192000,N1,0.738,Pippyg,5
ECC_20181005_183624_527.wav,0.06,0.06,47,45,45,0,1.7,12,12,20,48.9,156,21,42.8,192000,N1,0.838,Pippip,5
ECC_20181005_183628_457.wav,0.026,0.056,46,44.2,44.2,0,1.3,7,16,20,81.7,100.1,30,71.8,192000,N1,0.802,Pippip,5
ECC_20181005_183756_289.wav,0.002,0.016,47,45.8,44.6,0,1.8,12,18,22,96.5,139,37,85.2,192000,N1,0.854,Pippip,5
ECC_20181005_184215_932.wav,0.002,0.01,48,45.8,45.4,0,1,5,18,22,108.6,168.5,48,100.9,192000,N1,0.732,Pippip,5
ECC_20181005_184435_268.wav,0.006,0.036,46,45.8,45.4,0,1.3,9,14,22,29.4,81.1,13,24.8,192000,N1,0.744,Pippip,5
ECC_20181005_184602_997.wav,0.018,0.014,46,44.2,43.5,0,1.6,14,17,23,80.1,122.7,27,71.4,192000,N1,0.666,Pippip,5
ECC_20181005_184607_180.wav,0.004,0.01,44,43.5,43.5,0,1.6,9,15,22,75.9,122,29,65.3,192000,N1,0.658,Pippip,5
ECC_20181005_184718_211.wav,0,0.004,47,45.8,45,0,1.5,9,16,20,88.1,123.3,32,80,192000,N1,0.772,Pippip,5
ECC_20181005_184729_875.wav,0.002,0.004,46,45.8,45.8,0,0.9,4,13,17,28.1,103,8,16.6,192000,N1,0.696,Pippip,5
ECC_20181005_184825_893.wav,0.012,0.04,46,44.2,43.5,0,2,14,20,24,79.8,193.6,32,71.5,192000,N1,0.75,Pippip,5
ECC_20181005_184840_141.wav,0.008,0.016,45,43.9,43.5,0,1.1,10,11,20,34.1,100,12,24.8,192000,N1,0.676,Pippip,5
ECC_20181005_184844_771.wav,0.016,0.036,44,43.5,43.5,0,1.1,9,14,18,31.5,98,10,20.4,192000,N1,0.602,Pippip,5
ECC_20181005_185200_749.wav,0.012,0.044,46,45,45,0,1.3,12,12,22,58,105.1,23,49.3,192000,N1,0.714,Pippip,5
ECC_20181005_185204_000.wav,0.008,0.032,49,45.8,45.8,0,1,9,11,16,51.8,82.2,15,43.3,192000,N1,0.796,Pippip,5
ECC_20181005_185209_064.wav,0.01,0.024,46,45,45,0,1.9,17,14,24,83.6,151.5,25,71.1,192000,N1,0.758,Pippip,5
