Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
SR2_20180717_224042_000.wav,0.012,0.03,0.042,0,0.006,0.028,0.042,0,0.064,0.014,0.012,0.004,0.01,0.02,0.18,0.018,0.022,0.004,0.002,0.006,0.004,0.014,0.028,0.06,0.026,0.028,0.56,0.022,0.032,0.004,0,0.012,0.088,0.078,0.102,0.032,0.114,0.026,0.002,0.01,0.008,0.026,0.068,23,21.8,21.8,0.1,1.1,4,3,5,22.5,46.9,10,21.5,192000,N2,0.56,noise,5
SR2_20180717_224106_000.wav,0.014,0.03,0.048,0,0.002,0.054,0.038,0,0.072,0.002,0.004,0.008,0.006,0.014,0.038,0.096,0.024,0.002,0,0,0.014,0.018,0.01,0.052,0.032,0.032,0.25,0.028,0.054,0.002,0,0.002,0.108,0.058,0.086,0.132,0.114,0.05,0.01,0.036,0.02,0.11,0.086,50,51.8,0,0.4,1.2,2,4,7,8.1,12.2,4,2.2,192000,N2,0.25,noise,5
SR2_20180717_224908_000.wav,0.014,0.008,0.038,0,0.002,0.028,0.024,0,0.054,0.002,0,0.002,0,0.004,0.036,0.092,0.012,0,0,0.002,0.002,0,0.006,0.01,0.004,0.016,0.312,0.02,0.06,0,0,0.002,0.11,0.02,0.022,0.032,0.108,0.03,0.012,0.012,0.006,0.046,0.092,21,21.8,10.9,0.7,2.2,2,5,9,12.5,14.9,5,3.7,192000,N2,0.312,noise,5
SR2_20180717_225036_000.wav,0.268,0.008,0.228,0,0.002,0.01,0.01,0,0.024,0.032,0.002,0,0.002,0.002,0.018,0.164,0.004,0.004,0,0.052,0,0,0.002,0.004,0.002,0.002,0.12,0.15,0.084,0,0,0.002,0.306,0.02,0.032,0.028,0.078,0.014,0.01,0.006,0.004,0.014,0.358,12,12,12,1,2.2,18,8,63,18.5,37.1,5,6.7,192000,N2,0.358,Tetvir,5
SR2_20180717_225055_000.wav,0.002,0.002,0.02,0,0.002,0.012,0.038,0,0.01,0,0.008,0.004,0.002,0.064,0.07,0.002,0.006,0,0,0,0,0.002,0.008,0.014,0.014,0.062,0.454,0.004,0.008,0,0,0.004,0.038,0.008,0.01,0.01,0.06,0.024,0,0,0.006,0.022,0.01,33,28.5,0,2,2.1,1,1,1,20.7,20.7,11,19.4,192000,N2,0.454,noise,5
SR2_20180717_233337_000.wav,0.032,0.038,0.144,0.002,0.002,0.044,0.024,0,0.04,0.032,0,0.008,0.002,0.01,0.06,0.044,0.022,0.002,0,0.004,0.014,0.01,0.032,0.062,0.038,0.034,0.35,0.032,0.016,0,0,0.002,0.106,0.032,0.092,0.09,0.06,0.07,0.004,0.026,0.036,0.104,0.136,54,54.4,0,0.1,1.1,4,4,5,13.2,17.2,5,8.4,192000,N2,0.35,noise,5
SR2_20180717_234519_000.wav,0.01,0.002,0.118,0.002,0.002,0.004,0.01,0,0.008,0.03,0,0.002,0,0.004,0.018,0.022,0.002,0,0,0.004,0,0,0,0.006,0.006,0.004,0.48,0.016,0.014,0.004,0,0.008,0.08,0.002,0.002,0.012,0.028,0.028,0.002,0,0.002,0.012,0.056,9,9.8,5.2,0.8,0.9,1,8,8,9.4,9.4,3,5,192000,N2,0.48,noise,5
SR2_20180717_235330_000.wav,0.022,0.002,0.096,0,0,0.006,0.01,0,0.004,0.014,0,0,0,0,0.016,0.026,0,0,0,0.01,0,0,0.002,0.002,0,0,0.366,0.008,0.012,0,0,0.004,0.144,0.004,0.004,0.01,0.028,0.012,0.002,0,0.002,0.006,0.188,11,10.5,9,0.1,0.2,1,2,2,18.7,18.7,9,16.8,192000,N2,0.366,noise,5
SR2_20180717_235445_000.wav,0.022,0.008,0.064,0,0.002,0.012,0.012,0,0.048,0.01,0,0,0,0,0.008,0.146,0.004,0.004,0,0.004,0,0,0.004,0.004,0.002,0.002,0.1,0.046,0.208,0,0,0.002,0.092,0.048,0.042,0.09,0.11,0.016,0.004,0.002,0.002,0.032,0.092,19,17.6,17.6,1.9,3.5,2,8,11,10.1,11.2,4,6.7,192000,N2,0.208,Nycnoc,5
SR2_20180718_005529_000.wav,0.024,0.012,0.18,0.002,0,0.008,0.012,0,0.118,0.012,0,0.002,0,0.008,0.044,0.052,0.006,0.004,0,0.012,0,0.002,0.006,0.006,0.004,0.016,0.266,0.052,0.118,0,0,0.006,0.162,0.032,0.036,0.036,0.064,0.036,0.03,0.01,0.004,0.018,0.058,22,22.5,22.5,1.8,4.1,1,5,5,9.6,10.8,3,6.6,192000,N2,0.266,noise,5
SR2_20180718_012328_000.wav,0.008,0.014,0.038,0,0,0.07,0.062,0,0.014,0.004,0.01,0.01,0.014,0.088,0.054,0.008,0.018,0,0,0.004,0.02,0.02,0.036,0.04,0.034,0.038,0.628,0.01,0.012,0,0,0.02,0.092,0.032,0.078,0.086,0.06,0.02,0.004,0.032,0.044,0.062,0.04,71,72,72,0.2,1.5,7,1,5,20,81.4,9,9.8,192000,N2,0.628,noise,5
SR2_20180718_012734_000.wav,0.016,0.002,0.056,0.002,0.006,0.006,0.028,0,0.008,0.024,0.008,0.004,0,0.008,0.034,0.016,0.006,0,0,0.004,0,0.002,0.002,0.012,0.008,0.004,0.652,0.008,0.012,0,0,0.008,0.08,0.01,0.008,0.014,0.042,0.016,0.004,0.008,0.002,0.026,0.066,11,10.9,11.2,1.1,3.9,2,1,1,28.7,36.8,14,18.3,192000,N2,0.652,noise,5
SR2_20180718_013735_000.wav,0.002,0.006,0.038,0,0.002,0.01,0.03,0,0.006,0.006,0.014,0.004,0.002,0.01,0.038,0.012,0.008,0,0,0,0,0.006,0.004,0.004,0.004,0.008,0.564,0.008,0,0.002,0,0.012,0.074,0.004,0.008,0.006,0.034,0.01,0,0.006,0.004,0.014,0.04,21,27.8,28.5,1,1.1,1,1,1,104,104,47,92.5,192000,N2,0.564,noise,5
